horizon,model,fold,n,peak_n,mae,rmse,mape_nonzero,peak_mae,position_tp,position_fp,position_fn,position_f1,episode_tp,episode_fp,episode_fn,episode_f1,false_alarms_positions,timing_mae_minutes,magnitude_mae,peak_mae_ci95,brier,pr_auc,coverage_0.1,top_coverage_0.1,pinball_0.1,coverage_0.5,top_coverage_0.5,pinball_0.5,coverage_0.9,top_coverage_0.9,pinball_0.9,coverage_0.95,top_coverage_0.95,pinball_0.95,coverage_0.975,top_coverage_0.975,pinball_0.975,pinball_mean
1,lgbm_quantile_a,2,2064,235,3.8463791829876968,6.88137591788665,5.122265521016408,11.68000204301665,232,93,3,0.8285714285714286,38,4,18,0.7755102040816326,93,23.289473684210527,9.929078030623305,"[9.953323079263747, 13.460424494847882]",0.02649311937135678,0.9288416337158129,0.16327519379844962,0.07582938388625593,0.882344878902032,0.4641472868217054,0.2037914691943128,1.9231895914938484,0.8905038759689923,0.5260663507109005,1.102763664676964,0.940406976744186,0.6540284360189573,0.7525131626113469,0.9622093023255814,0.7440758293838863,0.5179840290888432,1.035759065354607
1,lgbm_quantile_b,0,2750,41,5.569396352923509,8.420784490336365,6.540339068696231,9.698228419844702,34,136,7,0.3222748815165877,19,49,4,0.4175824175824176,136,18.157894736842106,4.367515148467618,"[7.536825923733565, 11.97331579359839]",0.012812596627770612,0.35382133493357587,0.3461818181818182,0.22077922077922077,1.6317679659007092,0.618909090909091,0.6818181818181818,2.7846981764617547,0.8832727272727273,0.9415584415584416,1.4832084122734186,0.9301818181818182,0.9675324675324676,0.9558405934039611,0.9589090909090909,0.9805194805194806,0.5785374161371808,1.4868105128354048
1,lgbm_quantile_b,1,2750,140,3.449130465887347,5.390431851632486,3.8098130000273116,6.55214596331635,139,134,1,0.6731234866828087,48,21,17,0.7164179104477612,134,12.5,4.8884625839868034,"[5.860811955515126, 7.321040716854043]",0.019446264978592417,0.8207729290513434,0.09527272727272727,0.07021276595744681,1.058099743291304,0.4763636363636364,0.42340425531914894,1.7245652329436736,0.8763636363636363,0.9446808510638298,0.8909104451793398,0.9381818181818182,0.9829787234042553,0.5635103503566785,0.974909090909091,0.9936170212765958,0.34296898551504545,0.9160109514572083
1,lgbm_quantile_b,2,2064,235,3.8463791829876968,6.88137591788665,5.122265521016408,11.68000204301665,232,93,3,0.8285714285714286,38,5,18,0.7676767676767676,93,24.473684210526315,9.929078030623305,"[9.953323079263747, 13.460424494847882]",0.02650585104699622,0.9290922097052708,0.16327519379844962,0.07582938388625593,0.882344878902032,0.4641472868217054,0.2037914691943128,1.9231895914938484,0.8624031007751938,0.6161137440758294,1.0155543049840188,0.9253875968992248,0.7772511848341233,0.6446934806814034,0.9748062015503876,0.933649289099526,0.41137839184252034,0.9754321295807646
1,lgbm_quantile_raw,0,2750,41,5.569396352923509,8.420784490336365,6.540339068696231,9.698228419844702,34,85,7,0.425,19,37,4,0.4810126582278481,85,17.36842105263158,4.467980130197081,"[7.536825923733565, 11.97331579359839]",0.011765459377596014,0.370530476249212,0.3461818181818182,0.22077922077922077,1.6317679659007092,0.618909090909091,0.6818181818181818,2.7846981764617547,0.8436363636363636,0.9090909090909091,1.4808272247278265,0.9029090909090909,0.961038961038961,0.959417342055619,0.9454545454545454,0.974025974025974,0.573398372491122,1.4860218163274062
1,lgbm_quantile_raw,1,2750,140,3.449130465887347,5.390431851632486,3.8098130000273116,6.55214596331635,137,117,3,0.6954314720812182,48,16,17,0.7441860465116279,117,10.625,5.079623623980005,"[5.860811955515126, 7.321040716854043]",0.01995708740893239,0.8210015636946241,0.09527272727272727,0.07021276595744681,1.058099743291304,0.4763636363636364,0.42340425531914894,1.7245652329436736,0.82,0.7212765957446808,0.8988146692224513,0.9178181818181819,0.8702127659574468,0.5506735698413199,0.9676363636363636,0.9553191489361702,0.34179424281938126,0.9147894916236261
1,lgbm_quantile_raw,2,2064,235,3.8463791829876968,6.88137591788665,5.122265521016408,11.68000204301665,205,28,30,0.8760683760683761,41,9,15,0.7735849056603774,28,19.024390243902438,10.182885206907894,"[9.953323079263747, 13.460424494847882]",0.027032227955570583,0.9288705712724461,0.16327519379844962,0.07582938388625593,0.882344878902032,0.4641472868217054,0.2037914691943128,1.9231895914938484,0.811046511627907,0.4786729857819905,1.1576978926465364,0.8938953488372093,0.5781990521327014,0.8003840680241907,0.9437984496124031,0.6824644549763034,0.5603539621003807,1.0647940786333976
1,lgbm_weight_2,0,2750,41,5.900688515426755,8.32999163099065,8.256403763753754,7.715816623388217,41,736,0,0.10024449877750612,19,78,4,0.31666666666666665,736,18.157894736842106,3.0120431465385145,"[5.346442536572617, 10.272504839752433]",,,,,,,,,,,,,,,,,,
1,lgbm_weight_2,1,2750,140,3.2966593725554043,4.607167189831609,4.1501549223243375,4.057924305034873,107,20,33,0.8014981273408239,43,5,22,0.7610619469026548,20,5.930232558139535,3.686459356992156,"[3.3666113063318, 4.773862453477896]",,,,,,,,,,,,,,,,,,
1,lgbm_weight_2,2,2064,235,4.633765715335287,7.346954223995056,8.29741896149478,12.74686893824857,212,44,23,0.8635437881873728,43,13,13,0.7678571428571429,44,22.325581395348838,10.595525562742004,"[10.428750112852978, 15.098206856056093]",,,,,,,,,,,,,,,,,,
