start,end,peak_time,hour,type,actual_max,baseline_at_max,residual_at_max,tau
2021-07-12 13:45:00,2021-07-12 13:45:00,2021-07-12 13:45:00,13,excess_residual,178.0,45.83010331925202,132.16989668074797,175.0
2021-07-12 14:15:00,2021-07-12 15:00:00,2021-07-12 15:00:00,15,excess_residual,190.0,154.9445217433552,35.05547825664479,175.0
2021-07-12 15:45:00,2021-07-12 16:15:00,2021-07-12 16:00:00,16,excess_residual,188.0,57.00988158739831,130.9901184126017,175.0
2021-07-12 16:45:00,2021-07-12 17:00:00,2021-07-12 16:45:00,16,excess_residual,177.0,66.06583295071253,110.93416704928747,175.0
2021-07-23 08:30:00,2021-07-23 10:00:00,2021-07-23 08:30:00,8,excess_residual,202.0,62.730014891553886,139.26998510844612,175.0
2021-07-23 10:30:00,2021-07-23 12:00:00,2021-07-23 11:45:00,11,excess_residual,199.0,74.55773985429468,124.44226014570532,175.0
2021-07-23 13:30:00,2021-07-23 15:00:00,2021-07-23 13:30:00,13,excess_residual,192.0,51.73627996452515,140.26372003547485,175.0
2021-07-23 15:45:00,2021-07-23 17:00:00,2021-07-23 16:00:00,16,excess_residual,206.0,50.74502299962332,155.25497700037667,175.0
2021-07-23 18:00:00,2021-07-23 18:00:00,2021-07-23 18:00:00,18,excess_residual,178.0,40.43719936253439,137.5628006374656,175.0
2021-07-23 19:00:00,2021-07-23 19:00:00,2021-07-23 19:00:00,19,excess_residual,176.0,72.46125331226965,103.53874668773035,175.0
2021-07-26 08:15:00,2021-07-26 10:00:00,2021-07-26 08:30:00,8,excess_residual,217.0,59.750774687967194,157.24922531203282,175.0
2021-07-26 10:30:00,2021-07-26 12:00:00,2021-07-26 11:00:00,11,excess_residual,207.0,68.54279053003161,138.4572094699684,175.0
2021-07-26 13:30:00,2021-07-26 13:45:00,2021-07-26 13:45:00,13,excess_residual,180.0,81.26439708113855,98.73560291886145,175.0
2021-07-26 14:15:00,2021-07-26 15:00:00,2021-07-26 14:45:00,14,excess_residual,199.0,51.35452821952573,147.64547178047428,175.0
2021-07-26 15:45:00,2021-07-26 16:00:00,2021-07-26 15:45:00,15,excess_residual,180.0,93.9567340434758,86.0432659565242,175.0
2021-07-26 16:45:00,2021-07-26 16:45:00,2021-07-26 16:45:00,16,excess_residual,177.0,67.81923686867904,109.18076313132096,175.0
2021-07-26 18:15:00,2021-07-26 18:30:00,2021-07-26 18:15:00,18,excess_residual,186.0,72.28638995616758,113.71361004383242,175.0
2021-07-26 19:30:00,2021-07-26 19:30:00,2021-07-26 19:30:00,19,excess_residual,177.0,132.02716192585325,44.97283807414675,175.0
2021-07-27 08:15:00,2021-07-27 09:00:00,2021-07-27 08:30:00,8,excess_residual,207.0,90.65618197026315,116.34381802973685,175.0
2021-07-27 09:45:00,2021-07-27 10:00:00,2021-07-27 10:00:00,10,excess_residual,192.0,50.451440629015714,141.5485593709843,175.0
2021-07-27 10:30:00,2021-07-27 12:00:00,2021-07-27 11:45:00,11,excess_residual,211.0,53.63929523994529,157.36070476005472,175.0
2021-07-27 13:30:00,2021-07-27 15:00:00,2021-07-27 14:45:00,14,excess_residual,199.0,76.6928308041731,122.3071691958269,175.0
2021-07-27 15:45:00,2021-07-27 17:00:00,2021-07-27 16:00:00,16,excess_residual,201.0,66.0113647206276,134.9886352793724,175.0
2021-07-27 18:00:00,2021-07-27 18:00:00,2021-07-27 18:00:00,18,excess_residual,184.0,44.41354585490605,139.58645414509397,175.0
2021-07-27 19:45:00,2021-07-27 19:45:00,2021-07-27 19:45:00,19,excess_residual,180.0,125.71653864350387,54.28346135649613,175.0
2021-07-28 08:15:00,2021-07-28 10:00:00,2021-07-28 09:00:00,9,excess_residual,204.0,91.18104367587053,112.81895632412947,175.0
2021-07-28 10:30:00,2021-07-28 12:00:00,2021-07-28 12:00:00,12,excess_residual,212.0,83.1637118781004,128.8362881218996,175.0
2021-07-28 13:15:00,2021-07-28 15:00:00,2021-07-28 14:45:00,14,excess_residual,203.0,58.75812693666388,144.24187306333613,175.0
2021-07-28 15:45:00,2021-07-28 16:30:00,2021-07-28 15:45:00,15,excess_residual,187.0,39.884696558739606,147.11530344126038,175.0
2021-07-28 18:00:00,2021-07-28 19:00:00,2021-07-28 18:00:00,18,excess_residual,190.0,43.6039731806776,146.3960268193224,175.0
2021-07-29 08:30:00,2021-07-29 10:00:00,2021-07-29 09:45:00,9,excess_residual,205.0,50.696005802885985,154.303994197114,175.0
2021-07-29 10:30:00,2021-07-29 12:00:00,2021-07-29 12:00:00,12,excess_residual,211.0,61.70840185445809,149.2915981455419,175.0
2021-07-29 13:30:00,2021-07-29 14:00:00,2021-07-29 13:45:00,13,excess_residual,206.0,50.182272065511214,155.8177279344888,175.0
2021-07-29 14:30:00,2021-07-29 15:00:00,2021-07-29 15:00:00,15,excess_residual,201.0,92.71645880400736,108.28354119599264,175.0
2021-07-29 15:45:00,2021-07-29 16:00:00,2021-07-29 15:45:00,15,excess_residual,186.0,71.27366732475409,114.72633267524591,175.0
2021-07-29 18:45:00,2021-07-29 19:00:00,2021-07-29 18:45:00,18,excess_residual,180.0,161.5344313434395,18.465568656560492,175.0
2021-07-29 19:45:00,2021-07-29 19:45:00,2021-07-29 19:45:00,19,excess_residual,181.0,88.00116280846585,92.99883719153415,175.0
2021-07-30 08:15:00,2021-07-30 10:00:00,2021-07-30 09:00:00,9,excess_residual,204.0,47.87143937190766,156.12856062809234,175.0
2021-07-30 10:30:00,2021-07-30 12:00:00,2021-07-30 12:00:00,12,excess_residual,212.0,40.960246032794764,171.03975396720523,175.0
2021-07-30 13:15:00,2021-07-30 15:00:00,2021-07-30 14:45:00,14,excess_residual,203.0,33.8589968619254,169.1410031380746,175.0
2021-07-30 15:45:00,2021-07-30 16:30:00,2021-07-30 15:45:00,15,excess_residual,187.0,21.907058377923477,165.09294162207652,175.0
2021-07-30 18:00:00,2021-07-30 19:00:00,2021-07-30 18:00:00,18,excess_residual,190.0,11.093926987727471,178.90607301227254,175.0
2021-08-09 08:30:00,2021-08-09 09:30:00,2021-08-09 08:45:00,8,excess_residual,215.0,90.36303857833974,124.63696142166026,175.0
