horizon,ratio,rule,prep_minutes,true_episodes,missed_episodes,false_episodes,episode_hit_rate,false_alarm_positions_per_operating_hour,actionable_alert_positions,nonactionable_alert_positions,actionable_tp_episodes,actionable_episode_hit_rate,mean_actionable_lead_minutes
4,0.1,2/2,15,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,94,0.6351351351351351,54.8936170212766
4,0.1,2/2,30,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,94,0.6351351351351351,39.8936170212766
4,0.1,2/2,60,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,66,0.44594594594594594,20.90909090909091
4,0.1,2/3,15,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,72,0.4864864864864865,71.66666666666667
4,0.1,2/3,30,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,72,0.4864864864864865,56.666666666666664
4,0.1,2/3,60,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,55,0.3716216216216216,40.09090909090909
4,0.2,1/1,15,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,100,0.6756756756756757,67.65
4,0.2,1/1,30,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,100,0.6756756756756757,52.65
4,0.2,1/1,60,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,97,0.6554054054054054,23.814432989690722
4,0.2,2/2,15,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,94,0.6351351351351351,54.8936170212766
4,0.2,2/2,30,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,94,0.6351351351351351,39.8936170212766
4,0.2,2/2,60,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,66,0.44594594594594594,20.90909090909091
4,0.2,2/3,15,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,72,0.4864864864864865,71.66666666666667
4,0.2,2/3,30,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,72,0.4864864864864865,56.666666666666664
4,0.2,2/3,60,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,55,0.3716216216216216,40.09090909090909
4,0.3,1/1,15,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,100,0.6756756756756757,67.65
4,0.3,1/1,30,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,100,0.6756756756756757,52.65
4,0.3,1/1,60,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,97,0.6554054054054054,23.814432989690722
4,0.3,2/2,15,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,94,0.6351351351351351,54.8936170212766
4,0.3,2/2,30,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,94,0.6351351351351351,39.8936170212766
4,0.3,2/2,60,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,66,0.44594594594594594,20.90909090909091
4,0.3,2/3,15,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,72,0.4864864864864865,71.66666666666667
4,0.3,2/3,30,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,72,0.4864864864864865,56.666666666666664
4,0.3,2/3,60,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,55,0.3716216216216216,40.09090909090909
4,0.5,1/1,15,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,100,0.6756756756756757,67.65
4,0.5,1/1,30,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,100,0.6756756756756757,52.65
4,0.5,1/1,60,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,97,0.6554054054054054,23.814432989690722
4,0.5,2/2,15,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,94,0.6351351351351351,54.8936170212766
4,0.5,2/2,30,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,94,0.6351351351351351,39.8936170212766
4,0.5,2/2,60,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,66,0.44594594594594594,20.90909090909091
4,0.5,2/3,15,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,72,0.4864864864864865,71.66666666666667
4,0.5,2/3,30,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,72,0.4864864864864865,56.666666666666664
4,0.5,2/3,60,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,55,0.3716216216216216,40.09090909090909
16,0.01,1/1,15,9,139,2,0.060810810810810814,3.773272872766071,7498,0,9,0.060810810810810814,7568.333333333333
16,0.01,1/1,30,9,139,2,0.060810810810810814,3.773272872766071,7498,0,9,0.060810810810810814,7553.333333333333
16,0.01,1/1,60,9,139,2,0.060810810810810814,3.773272872766071,7498,0,9,0.060810810810810814,7523.333333333333
16,0.01,2/2,15,9,139,2,0.060810810810810814,3.7674046412376634,7487,0,9,0.060810810810810814,7553.333333333333
16,0.01,2/2,30,9,139,2,0.060810810810810814,3.7674046412376634,7487,0,9,0.060810810810810814,7538.333333333333
16,0.01,2/2,60,9,139,2,0.060810810810810814,3.7674046412376634,7487,0,9,0.060810810810810814,7508.333333333333
16,0.01,2/3,15,9,139,2,0.060810810810810814,3.761536409709256,7476,0,9,0.060810810810810814,7538.333333333333
16,0.01,2/3,30,9,139,2,0.060810810810810814,3.761536409709256,7476,0,9,0.060810810810810814,7523.333333333333
16,0.01,2/3,60,9,139,2,0.060810810810810814,3.761536409709256,7476,0,9,0.060810810810810814,7493.333333333333
16,0.05,1/1,15,87,61,175,0.5878378378378378,0.559615897572686,1445,0,87,0.5878378378378378,252.24137931034483
16,0.05,1/1,30,87,61,175,0.5878378378378378,0.559615897572686,1445,0,87,0.5878378378378378,237.24137931034483
16,0.05,1/1,60,87,61,175,0.5878378378378378,0.559615897572686,1445,0,87,0.5878378378378378,207.24137931034483
16,0.05,2/2,15,82,66,134,0.5540540540540541,0.4331821819151774,1183,0,82,0.5540540540540541,239.6341463414634
