horizon,fold,model,selected_model,attribution_role,feature,mae_increase,repeat_std,scored_rows
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,production_completed_2h,0.01119782481021403,0.007621140995431135,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,production_completed_3h,-0.04258505095321574,0.005093476507732801,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,production_previous_day_total,0.09792149034935704,0.021116849266772274,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,production_same_slot_7d_mean,0.0347323649775421,0.009092325806676472,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,cbl_mid_6_10,1.701562084117792,0.0707003452595583,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,cbl_mid_6_10_adjusted,6.493274053933803,0.15627089152636822,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,current,20.77437627934577,0.4290562372497369,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_1,0.0,0.0,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_2,0.015708349389878862,0.00569167722133953,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_3,0.3233221217963802,0.016873759799218804,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_4,-0.02440249221672867,0.0011809888948124236,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_5,-0.0020013955247044635,0.0030515582989582013,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_6,0.0,0.0,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_7,-0.005148368476929714,0.0007787171094967066,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_96,-0.32561978416164905,0.030739081767692134,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_672,2.1606239804664185,0.06738262255326305,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_slot_1d_ago,0.2873797923348616,0.04822665322424619,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_slot_7d_ago,13.363918531017717,0.1612558856486741,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_1_mean,0.0,0.0,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_1_max,0.0,0.0,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_1_std,0.0,0.0,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_4_mean,0.007497331839283324,0.001135125405227716,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_4_max,0.42265114612232796,0.033358741696042624,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_4_std,-0.0015743242359024616,0.0012854303558869817,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_16_mean,0.48744746437124914,0.04423001712502394,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_16_max,0.8332689891352203,0.06839112360341598,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_16_std,-0.12424830954744337,0.0185293293510144,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_96_mean,-0.24129144288331852,0.04469399735790886,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_96_max,3.9254817157385915,0.08036407384865323,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_96_std,-0.16197573743209048,0.022357498093496377,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_4_slope,0.027817394382354383,0.005427479486246047,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,peak_count_7d,0.08558474283104427,0.03450822697593159,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,since_last_peak_intervals,0.42209774348543877,0.08729913793654184,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_hour,1.2988947419910157,0.10769460842861894,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_quarter,0.0,0.0,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_weekday,1.5559051462966818,0.16944419061065774,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_month,0.0,0.0,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,production_completed_1h,0.10900304911952219,0.0016129696873151056,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,production_completed_2h,-0.0182833846203998,0.0022386873453160527,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,production_completed_3h,1.2962291160168036,0.008688332674255601,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,production_previous_day_total,-1.9579741504557013,0.12573924341234893,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,production_same_slot_7d_mean,0.06421880701302858,0.0362248813088276,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,cbl_mid_6_10,1.8260875108580226,0.0960329800677573,1500
16,2,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,cbl_mid_6_10_adjusted,12.690588860485429,0.3044028774700314,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,current,45.849289407475446,0.35759014991978505,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_1,0.2084535682591747,0.013186810950270366,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_2,0.0248274028839921,0.021539968859369193,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_3,0.06789264051188997,0.0016386625306839887,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_4,-0.06880282352847338,0.014971873495295837,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_5,0.2634697842739812,0.027352282701960676,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_6,0.23229771605467806,0.03268198900509814,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_7,0.5311096850060503,0.03229150061106245,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_96,0.2589503013108632,0.023002389303318965,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_672,0.6855395915468598,0.014673528601166181,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,target_slot_1d_ago,0.4933319784251327,0.02412960555367072,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,target_slot_7d_ago,3.5097969432295937,0.03812879829087907,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_1_mean,0.0,0.0,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_1_max,0.0,0.0,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_1_std,0.0,0.0,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_4_mean,0.16450005594423503,0.009206427002086749,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_4_max,-0.003373709943029842,0.010636901441211004,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_4_std,0.5055908830813151,0.017017110107693044,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_16_mean,0.12512628099937442,0.027314770192877806,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_16_max,0.4617511116703712,0.021216268619121167,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_16_std,0.13394320581710803,0.014326617364623937,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_96_mean,0.2897543840212317,0.06170769176630409,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_96_max,-0.02075044120725374,0.022552090513374742,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_96_std,-0.0040447162875928795,0.0187602765835214,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_4_slope,0.13508085025742686,0.03513529460327489,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,peak_count_7d,-0.0040807800084845525,0.0033925551901776018,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,since_last_peak_intervals,0.314588266453633,0.030344703842828225,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,target_hour,0.13245638120483041,0.023809835539152936,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,target_quarter,0.1577680166583697,0.008060519721674046,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,target_weekday,0.00705771057224099,0.0032110970336515104,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,target_month,0.0,0.0,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,production_completed_1h,0.08460668132038407,0.018541699037375986,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,production_completed_2h,-0.002382744149904544,0.0026700805158732226,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,production_completed_3h,0.00555484953884348,0.006232672790371146,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,production_previous_day_total,0.007742827577979246,0.003560107970259931,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,production_same_slot_7d_mean,0.038544662625243475,0.010001346640496908,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,cbl_mid_6_10,0.10650611979258755,0.03437084967642391,1500
1,0,lgbm_no_holiday,p1_latest,development_comparator_not_selected,cbl_mid_6_10_adjusted,5.035065258388527,0.1876244310989732,1500
1,1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,current,47.08344954799937,0.8173796748604517,1500
