horizon,fold,partition,feature,n,missing_n,missing_rate
1,0,stop,production_completed_1h,1405,0,0.0
1,0,stop,production_completed_2h,1405,0,0.0
1,0,stop,production_completed_3h,1405,0,0.0
1,0,stop,production_previous_day_total,1405,0,0.0
1,0,stop,production_same_slot_7d_mean,1405,0,0.0
1,0,stop,cbl_mid_6_10,1405,0,0.0
1,0,stop,cbl_mid_6_10_adjusted,1405,0,0.0
1,0,cal,current,1480,0,0.0
1,0,cal,lag_1,1480,0,0.0
1,0,cal,lag_2,1480,0,0.0
1,0,cal,lag_3,1480,0,0.0
1,0,cal,lag_4,1480,0,0.0
1,0,cal,lag_5,1480,0,0.0
1,0,cal,lag_6,1480,0,0.0
1,0,cal,lag_7,1480,0,0.0
1,0,cal,lag_96,1480,0,0.0
1,0,cal,lag_672,1480,0,0.0
1,0,cal,target_slot_1d_ago,1480,0,0.0
1,0,cal,target_slot_7d_ago,1480,0,0.0
1,0,cal,recent_1_mean,1480,0,0.0
1,0,cal,recent_1_max,1480,0,0.0
1,0,cal,recent_1_std,1480,0,0.0
1,0,cal,recent_4_mean,1480,0,0.0
1,0,cal,recent_4_max,1480,0,0.0
1,0,cal,recent_4_std,1480,0,0.0
1,0,cal,recent_16_mean,1480,0,0.0
1,0,cal,recent_16_max,1480,0,0.0
1,0,cal,recent_16_std,1480,0,0.0
1,0,cal,recent_96_mean,1480,0,0.0
1,0,cal,recent_96_max,1480,0,0.0
1,0,cal,recent_96_std,1480,0,0.0
1,0,cal,recent_4_slope,1480,0,0.0
1,0,cal,peak_count_7d,1480,0,0.0
1,0,cal,since_last_peak_intervals,1480,0,0.0
1,0,cal,target_hour,1480,0,0.0
1,0,cal,target_quarter,1480,0,0.0
1,0,cal,target_weekday,1480,0,0.0
1,0,cal,target_month,1480,0,0.0
1,0,cal,is_offday,1480,0,0.0
1,0,cal,pre_holiday,1480,0,0.0
1,0,cal,post_holiday,1480,0,0.0
1,0,cal,bridge_day,1480,0,0.0
1,0,cal,labor_day,1480,0,0.0
1,0,cal,production_completed_1h,1480,0,0.0
1,0,cal,production_completed_2h,1480,0,0.0
1,0,cal,production_completed_3h,1480,0,0.0
1,0,cal,production_previous_day_total,1480,0,0.0
1,0,cal,production_same_slot_7d_mean,1480,0,0.0
1,0,cal,cbl_mid_6_10,1480,0,0.0
1,0,cal,cbl_mid_6_10_adjusted,1480,0,0.0
1,0,score,current,2750,0,0.0
1,0,score,lag_1,2750,0,0.0
1,0,score,lag_2,2750,0,0.0
1,0,score,lag_3,2750,0,0.0
1,0,score,lag_4,2750,0,0.0
1,0,score,lag_5,2750,0,0.0
1,0,score,lag_6,2750,0,0.0
1,0,score,lag_7,2750,0,0.0
1,0,score,lag_96,2750,0,0.0
1,0,score,lag_672,2750,0,0.0
1,0,score,target_slot_1d_ago,2750,0,0.0
1,0,score,target_slot_7d_ago,2750,0,0.0
1,0,score,recent_1_mean,2750,0,0.0
1,0,score,recent_1_max,2750,0,0.0
1,0,score,recent_1_std,2750,0,0.0
1,0,score,recent_4_mean,2750,0,0.0
1,0,score,recent_4_max,2750,0,0.0
1,0,score,recent_4_std,2750,0,0.0
1,0,score,recent_16_mean,2750,0,0.0
1,0,score,recent_16_max,2750,0,0.0
1,0,score,recent_16_std,2750,0,0.0
1,0,score,recent_96_mean,2750,0,0.0
1,0,score,recent_96_max,2750,0,0.0
1,0,score,recent_96_std,2750,0,0.0
1,0,score,recent_4_slope,2750,0,0.0
1,0,score,peak_count_7d,2750,0,0.0
1,0,score,since_last_peak_intervals,2750,0,0.0
1,0,score,target_hour,2750,0,0.0
1,0,score,target_quarter,2750,0,0.0
1,0,score,target_weekday,2750,0,0.0
1,0,score,target_month,2750,0,0.0
1,0,score,is_offday,2750,0,0.0
1,0,score,pre_holiday,2750,0,0.0
1,0,score,post_holiday,2750,0,0.0
1,0,score,bridge_day,2750,0,0.0
1,0,score,labor_day,2750,0,0.0
1,0,score,production_completed_1h,2750,0,0.0
1,0,score,production_completed_2h,2750,0,0.0
1,0,score,production_completed_3h,2750,0,0.0
1,0,score,production_previous_day_total,2750,0,0.0
1,0,score,production_same_slot_7d_mean,2750,0,0.0
1,0,score,cbl_mid_6_10,2750,0,0.0
1,0,score,cbl_mid_6_10_adjusted,2750,0,0.0
1,1,raw_train,current,12693,0,0.0
1,1,raw_train,lag_1,12693,1,7.878358150161507e-05
1,1,raw_train,lag_2,12693,2,0.00015756716300323014
1,1,raw_train,lag_3,12693,3,0.0002363507445048452
1,1,raw_train,lag_4,12693,4,0.0003151343260064603
1,1,raw_train,lag_5,12693,5,0.00039391790750807534
1,1,raw_train,lag_6,12693,6,0.0004727014890096904
1,1,raw_train,lag_7,12693,7,0.0005514850705113054
1,1,raw_train,lag_96,12693,96,0.007563223824155046
1,1,raw_train,lag_672,12693,672,0.05294256676908532
1,1,raw_train,target_slot_1d_ago,12693,95,0.007484440242653431
1,1,raw_train,target_slot_7d_ago,12693,671,0.05286378318758371
1,1,raw_train,recent_1_mean,12693,0,0.0
1,1,raw_train,recent_1_max,12693,0,0.0
1,1,raw_train,recent_1_std,12693,0,0.0
1,1,raw_train,recent_4_mean,12693,3,0.0002363507445048452
1,1,raw_train,recent_4_max,12693,3,0.0002363507445048452
1,1,raw_train,recent_4_std,12693,3,0.0002363507445048452
1,1,raw_train,recent_16_mean,12693,15,0.001181753722524226
1,1,raw_train,recent_16_max,12693,15,0.001181753722524226
1,1,raw_train,recent_16_std,12693,15,0.001181753722524226
1,1,raw_train,recent_96_mean,12693,95,0.007484440242653431
1,1,raw_train,recent_96_max,12693,95,0.007484440242653431
1,1,raw_train,recent_96_std,12693,95,0.007484440242653431
1,1,raw_train,recent_4_slope,12693,3,0.0002363507445048452
1,1,raw_train,peak_count_7d,12693,671,0.05286378318758371
