tau_quantile,horizon,model,n,peak_n,mae,peak_mae,episode_f1,false_alarms_positions,peak_mae_ci95_low,peak_mae_ci95_high,episode_f1_ci95_low,episode_f1_ci95_high,false_alarm_ci95_low,false_alarm_ci95_high,reference_only,selection_used
0.95,96,c3_holiday_hybrid,7155,369,21.394665734917304,16.742547425474253,0.46153846153846156,1124,13.356257628055994,22.3541039263307,0.36759488842265875,0.5439710042432814,840.95,1404.025,True,False
0.95,96,p1_latest,7155,369,35.98350803633822,62.37669376693767,0.3287671232876712,1107,31.45825,93.90401733165564,0.23296677894458756,0.42857142857142855,843.6750000000001,1410.05,True,False
0.95,96,s2_week,7155,369,19.84416491963662,20.241192411924118,0.4282238442822384,1243,14.69744003837544,30.293795429398244,0.3384352078239609,0.5076399072507363,973.825,1507.025,True,False
0.975,1,c2a_max_4_5_adjusted,7564,273,13.011441256830599,16.473214285714285,0.29925187032418954,2928,11.761416688356759,23.70884325228264,0.20162449325446935,0.3910185637518319,2377.95,3491.1,True,False
0.975,1,p1_latest,7564,273,7.792041248016922,10.87912087912088,0.5407725321888412,231,10.004640089215513,12.133041543643698,0.4488133784678784,0.6154040404040404,144.95,316.025,True,False
0.975,1,s2_week,7564,273,19.43072448439979,18.963369963369964,0.31186440677966104,1047,13.771488815548222,28.98039819376026,0.17909495077802476,0.42817475295916685,725.975,1348.125,True,False
0.975,4,c2a_max_4_5_adjusted,7551,273,16.00549320178343,20.328067765567766,0.3081081081081081,2449,13.91038552330962,30.131071737197544,0.21146443781166963,0.3981035896671264,2008.975,2886.025,True,False
0.975,4,lgbm_no_holiday_weight_2,7551,273,8.31140539709076,20.053708750014685,0.6010362694300518,208,15.967061047713235,24.03768177448587,0.4964278742924068,0.6766206844565054,123.0,294.04999999999995,True,False
0.975,4,p1_latest,7551,273,16.264733147927426,34.53479853479853,0.3791469194312796,377,30.37131862312445,41.20947859116022,0.2828227931488801,0.46513220770946156,219.0,530.05,True,False
0.975,4,s2_week,7551,273,19.459409349755,18.963369963369964,0.3129251700680272,1042,13.771488815548222,28.98039819376026,0.18044628739230048,0.4286187322611163,724.95,1338.225,True,False
0.975,16,c3_holiday_hybrid,7498,273,20.335911798701876,15.938644688644688,0.4,300,12.557348792361507,21.81259302250984,0.23610895445134575,0.5267192611777536,174.0,441.1999999999998,True,False
0.975,16,p3_recent_mean,7498,273,24.715757535342757,73.85897435897436,0.18584070796460178,1743,59.82722452570144,90.94472249266994,0.10608947509134659,0.2222222222222222,1340.95,2186.125,True,False
0.975,16,s2_week,7498,273,19.57415310749533,18.963369963369964,0.30564784053156147,1016,13.740062506914482,29.024279141693558,0.18303538708199726,0.41498830949921156,720.85,1334.025,True,False
0.975,96,c3_holiday_hybrid,7155,236,21.394665734917304,18.046610169491526,0.38392857142857145,1042,13.909018186567412,25.80111835748792,0.23471739528077556,0.5174031174031174,729.825,1343.125,True,False
0.975,96,p1_latest,7155,236,35.98350803633822,63.351694915254235,0.31683168316831684,378,30.402069922308545,101.83967379903501,0.1837666539779216,0.4278265851795263,238.0,545.025,True,False
0.975,96,s2_week,7155,236,19.84416491963662,20.96186440677966,0.32575757575757575,1045,14.723842701936702,34.01055023923445,0.19382549381838854,0.43794563279857396,735.75,1358.1999999999998,True,False
