fold,target_time,episode_end,intervals,actual_max_excess,predicted_max_pointwise_excess,signed_error,absolute_error,status
1,2021-06-09 10:30:00,2021-06-09 10:45:00,2,3.0,1.1658671252440749,-1.8341328747559251,1.8341328747559251,evaluated
1,2021-06-09 11:45:00,2021-06-09 11:45:00,1,1.0,0.9143925403713972,-0.08560745962860283,0.08560745962860283,evaluated
1,2021-06-09 14:00:00,2021-06-09 14:00:00,1,4.0,0.5283160526516998,-3.4716839473483003,3.4716839473483003,evaluated
1,2021-06-14 08:45:00,2021-06-14 09:30:00,4,27.0,6.450456479710829,-20.54954352028917,20.54954352028917,evaluated
1,2021-06-14 10:00:00,2021-06-14 10:00:00,1,3.0,0.9726487278790036,-2.0273512721209963,2.0273512721209963,evaluated
1,2021-06-14 10:30:00,2021-06-14 10:45:00,2,3.0,2.2710738491356888,-0.7289261508643112,0.7289261508643112,evaluated
1,2021-06-14 11:30:00,2021-06-14 11:45:00,2,13.0,4.324464449514359,-8.675535550485641,8.675535550485641,evaluated
1,2021-06-14 13:30:00,2021-06-14 14:15:00,4,15.0,5.462818471486178,-9.537181528513823,9.537181528513823,evaluated
1,2021-06-14 15:30:00,2021-06-14 16:15:00,4,15.0,3.909812786996182,-11.090187213003817,11.090187213003817,evaluated
1,2021-06-14 18:00:00,2021-06-14 18:30:00,3,5.0,1.016514277759828,-3.983485722240172,3.983485722240172,evaluated
1,2021-06-15 08:30:00,2021-06-15 09:30:00,5,21.0,6.457577966016138,-14.542422033983861,14.542422033983861,evaluated
1,2021-06-15 10:00:00,2021-06-15 10:00:00,1,11.0,3.4984842209568376,-7.501515779043162,7.501515779043162,evaluated
1,2021-06-15 10:45:00,2021-06-15 10:45:00,1,4.0,1.3863786947551793,-2.6136213052448207,2.6136213052448207,evaluated
1,2021-06-15 11:30:00,2021-06-15 11:30:00,1,3.0,1.525019366382422,-1.474980633617578,1.474980633617578,evaluated
1,2021-06-15 12:00:00,2021-06-15 12:00:00,1,7.0,2.5484715800124658,-4.451528419987534,4.451528419987534,evaluated
