scenario,fraction,prep_minutes,weight_basis,relative_cost_only,alert_positions,alert_positions_including_duplicate_sources,eligible_unique_source_windows,applied_unique_source_windows,actionable_alert_fraction,actionable_fraction_denominator,load_proxy_total_change,energy_conserved,month,monthly_max_before,monthly_max_after,monthly_max_change,weighted_load_change,new_peak_positions,evaluated_intervals,full_calendar_intervals,observed_fraction_of_full_month,scenario_label,demand_scope
D,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-3.410605131648481e-13,True,2021-05,199.0,197.9640823426956,-1.0359176573043953,-158.9821395925583,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-3.410605131648481e-13,True,2021-06,208.0,207.59853342455847,-0.40146657544153186,-354.25187579973857,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-3.410605131648481e-13,True,2021-07,217.0,215.20374467940786,-1.796255320592138,-331.896661664841,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-3.410605131648481e-13,True,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,7.673861546209082e-13,True,2021-04,182.0,177.0060950671458,-4.993904932854207,-430.88799499414483,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,7.673861546209082e-13,True,2021-05,199.0,196.9281646853912,-2.0718353146087907,-333.60077212556075,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,7.673861546209082e-13,True,2021-06,208.0,207.19706684911696,-0.8029331508830353,-708.5037515994741,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,7.673861546209082e-13,True,2021-07,217.0,213.4074893588157,-3.5925106411843046,-1192.1333758752319,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,7.673861546209082e-13,True,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-4.831690603168681e-13,True,2021-04,182.0,175.63571081578266,-6.364289184217341,-746.8502100780528,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-4.831690603168681e-13,True,2021-05,199.0,195.8922470280868,-3.107752971913186,-802.9526373737942,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-4.831690603168681e-13,True,2021-06,208.0,206.79560027367543,-1.2043997263245672,-1384.3102809991028,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-4.831690603168681e-13,True,2021-07,217.0,211.61123403822356,-5.388765961776443,-2385.1481441127416,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
