horizon,model,reference_only,selection_used,metric_role,n,peak_n,union_n,nonpeak_n,target_days,bootstrap_n,episode_ci_method,peak_mae_union,peak_mae_union_ci_low,peak_mae_union_ci_high,peak_mae_union_valid_bootstrap_n,peak_bias,peak_bias_ci_low,peak_bias_ci_high,peak_bias_valid_bootstrap_n,overpredict_rate,overpredict_rate_ci_low,overpredict_rate_ci_high,overpredict_rate_valid_bootstrap_n,peak_mae,peak_mae_ci_low,peak_mae_ci_high,peak_mae_valid_bootstrap_n,position_fp,position_fp_ci_low,position_fp_ci_high,position_fp_valid_bootstrap_n,episode_f1,episode_f1_ci_low,episode_f1_ci_high,episode_f1_valid_bootstrap_n
1,lgbm_quantile_a,True,False,"보조 지표, 선정에 미사용",7564,416,454,7148,85,1000,original_matching_event_start_date_blocks,10.039459117117019,8.674797685647757,11.42663748041102,1000,-8.871584981861211,-10.427950930636948,-7.368914847207821,1000,0.005316172355903749,0.003152543035982755,0.007982557800719327,1000,9.758962211987582,8.40575395920599,11.096032128539884,1000,353.0,260.95,442.025,1000,0.6624203821656051,0.586954423367467,0.7175403430427282,1000
1,lgbm_quantile_b,True,False,"보조 지표, 선정에 미사용",7564,416,454,7148,85,1000,original_matching_event_start_date_blocks,10.039459117117019,8.674797685647757,11.42663748041102,1000,-8.871584981861211,-10.427950930636948,-7.368914847207821,1000,0.005316172355903749,0.003152543035982755,0.007982557800719327,1000,9.758962211987582,8.40575395920599,11.096032128539884,1000,363.0,269.975,459.0,1000,0.6481481481481481,0.5724641529474243,0.7107087848616535,1000
1,lgbm_quantile_raw,True,False,"보조 지표, 선정에 미사용",7564,416,454,7148,85,1000,original_matching_event_start_date_blocks,10.039459117117019,8.674797685647757,11.42663748041102,1000,-8.871584981861211,-10.427950930636948,-7.368914847207821,1000,0.005316172355903749,0.003152543035982755,0.007982557800719327,1000,9.758962211987582,8.40575395920599,11.096032128539884,1000,230.0,168.0,296.0,1000,0.6878980891719745,0.6171728322628458,0.7422216423968325,1000
1,lgbm_weight_2,False,False,"보조 지표, 선정에 미사용",7564,416,468,7148,85,1000,original_matching_event_start_date_blocks,9.544531560205774,7.572721831455411,11.472248320068788,1000,-8.373308041071056,-10.574895812688988,-5.977477289000213,1000,0.007274762171236709,0.004636957619039855,0.01030953802782913,1000,9.326855972962052,7.099795966590143,11.28518886007886,1000,800.0,533.9,1088.1,1000,0.6086956521739131,0.5131235601630338,0.6875082671957672,1000
1,lgbm_weight_4,False,False,"보조 지표, 선정에 미사용",7564,416,467,7148,85,1000,original_matching_event_start_date_blocks,9.372015199059298,7.1398910658730905,11.533226520665393,1000,-8.46373261478583,-10.883574044420973,-5.802346698634692,1000,0.007134862898712927,0.004662663213519144,0.009956632597654193,1000,9.14243272753912,6.578386226180364,11.39994161930789,1000,504.0,347.975,674.025,1000,0.6483516483516484,0.5488698881349716,0.7268938247525529,1000
1,p1_latest,False,False,"보조 지표, 선정에 미사용",7564,416,559,7148,85,1000,original_matching_event_start_date_blocks,14.291592128801431,13.363975528018083,15.05322634301011,1000,-7.25,-8.198004862700229,-6.472026224982747,1000,0.02000559597090095,0.013341168012122082,0.02664602320285382,1000,11.245192307692308,10.405245719667663,12.127206909405636,1000,865.0,615.0,1136.0,1000,0.5268542199488491,0.4249599582172702,0.6208954790446983,1000
1,p2_hour_slot,False,False,"보조 지표, 선정에 미사용",7564,416,673,7148,85,1000,original_matching_event_start_date_blocks,40.87964338781575,38.15431140711886,44.02370545977012,1000,-36.18028846153846,-43.53446759777579,-31.364369224701377,1000,0.0359541130386122,0.02325366181825138,0.04948626949174754,1000,39.60336538461539,34.84111541970803,46.36340030544469,1000,1849.0,1524.85,2199.025,1000,0.3230769230769231,0.25,0.3874747474747474,1000
1,p3_recent_mean,False,False,"보조 지표, 선정에 미사용",7564,416,536,7148,85,1000,original_matching_event_start_date_blocks,22.745335820895523,21.31166625494071,24.598889570995233,1000,-19.426682692307693,-22.11816232435597,-17.580762752451456,1000,0.016787912702853944,0.009946304023941593,0.02436615901524883,1000,21.13221153846154,19.182359823590833,24.04122473615452,1000,1269.0,950.925,1605.025,1000,0.4785714285714286,0.41146946723009364,0.5441510695187165,1000
1,s1_day,False,False,"보조 지표, 선정에 미사용",7564,416,646,7148,85,1000,original_matching_event_start_date_blocks,61.809597523219814,37.05554054879201,88.26469464337957,1000,-52.59134615384615,-85.21924491501811,-22.706367385905587,1000,0.032176832680470065,0.019487870023328697,0.047233460272769374,1000,55.3125,26.570284908462394,87.0744406715714,1000,1121.0,845.0,1411.0,1000,0.361323155216285,0.2570493587586197,0.458719028117779,1000
1,s2_week,False,False,"보조 지표, 선정에 미사용",7564,416,680,7148,85,1000,original_matching_event_start_date_blocks,51.17941176470588,26.13648844125997,77.87297100644301,1000,-16.177884615384617,-24.059961621188478,-11.197783530393153,1000,0.03693340794627868,0.020830066463800995,0.055570030377771404,1000,18.764423076923077,14.201875,26.46376324382414,1000,1060.0,749.875,1349.025,1000,0.3393939393939394,0.2340968317103278,0.43481729879740977,1000
1,s3_day_week_mean,False,False,"보조 지표, 선정에 미사용",7564,416,491,7148,85,1000,original_matching_event_start_date_blocks,32.80142566191446,20.12532173927044,47.976535727447285,1000,-34.38461538461539,-51.569742716165415,-19.135379916347272,1000,0.010492445439283717,0.005553794363177996,0.016465374470138183,1000,35.45673076923077,20.676125055392724,52.43324404761905,1000,1438.0,980.975,1925.0749999999998,1000,0.32947976878612717,0.23002649177465123,0.4438651218062983,1000
4,c1_mid_6_10,False,False,"보조 지표, 선정에 미사용",7551,425,694,7126,85,1000,original_matching_event_start_date_blocks,62.353986551392886,37.07038523465745,87.33240514625231,1000,-13.548627450980398,-17.02369158750956,-10.989499621279576,1000,0.03774908784731967,0.019851514601140357,0.056094237207756595,1000,14.228627450980396,11.885762507891418,17.603665789932574,1000,1520.0,1222.95,1828.0749999999998,1000,0.4168618266978923,0.3178057220319635,0.5021661551266711,1000
