horizon,minutes,model,selected,n,peak_n,mae,peak_mae,peak_mae_ci_low,peak_mae_ci_high,episode_f1,tp,fp,fn
96,1440,lgbm_quantile_b,False,7155,369,24.921109383698514,31.692509816998705,25.002932684939836,39.86211070804521,0.41155234657039713,57,87,76
96,1440,lgbm_quantile_raw,False,7155,369,24.921109383698514,31.692509816998705,25.002932684939836,39.86211070804521,0.4931506849315068,72,87,61
96,1440,lgbm_weight_2,False,7155,369,31.308365478346893,38.720882835938035,30.525699556194905,47.10905774650613,0.38571428571428573,54,93,79
96,1440,lgbm_weight_4,False,7155,369,30.016530583165025,37.114255958820756,28.433856992017592,46.20217174827584,0.3448275862068966,50,107,83
96,1440,p1_latest,False,7155,369,35.98350803633822,62.37669376693767,31.811611777916866,95.68305643251774,0.3287671232876712,60,172,73
96,1440,p2_hour_slot,False,7155,369,44.39007686932215,78.9349593495935,52.58794443831384,107.22598901098901,0.23036649214659685,44,205,89
96,1440,p3_recent_mean,False,7155,369,38.9474143955276,67.32588075880759,37.803428742026185,99.03152794130966,0.3024054982817869,44,114,89
96,1440,s1_day,False,7155,369,35.98350803633822,62.37669376693767,31.811611777916866,95.68305643251774,0.3287671232876712,60,172,73
96,1440,s2_week,False,7155,369,19.84416491963662,20.241192411924118,14.990604444935231,29.77660943506874,0.4282238442822384,88,190,45
96,1440,s3_day_week_mean,False,7155,369,26.53717679944095,39.696476964769644,23.961451481519195,56.97387582140492,0.31746031746031744,50,132,83
