fold,model,iteration,stop_l1,best_iteration
0,original_full,98,16.639893055529317,598
0,original_full,99,16.631571418431992,598
0,original_full,100,16.59752696115052,598
0,original_full,101,16.598901991517536,598
0,original_full,102,16.575633163688387,598
0,original_full,103,16.5897567332889,598
0,original_full,104,16.580553097948673,598
0,original_full,105,16.560098174822684,598
0,original_full,106,16.53251792421594,598
0,original_full,107,16.51800713670673,598
0,original_full,108,16.513809637453903,598
0,original_full,109,16.483248230344532,598
0,original_full,110,16.46643324580867,598
0,original_full,111,16.47855098566831,598
0,original_full,112,16.580717234850702,598
0,original_full,113,16.555345509037917,598
0,original_full,114,16.55042018858192,598
0,original_full,115,16.539723494416744,598
0,original_full,116,16.522313367450213,598
0,original_full,117,16.5333749127664,598
0,original_full,118,16.60652359363788,598
0,original_full,119,16.590264855763,598
0,original_full,120,16.594093441109553,598
0,original_full,121,16.566382733202396,598
0,original_full,122,16.55408995398827,598
0,original_full,123,16.51896014814025,598
0,original_full,124,16.50305521184008,598
0,original_full,125,16.500068126605576,598
0,original_full,126,16.48605200208722,598
0,original_full,127,16.46323355295515,598
0,original_full,128,16.457688675084267,598
0,original_full,129,16.452249374254162,598
0,original_full,130,16.453783923184684,598
0,original_full,131,16.439554179004883,598
0,original_full,132,16.427098762916064,598
0,original_full,133,16.509473528398793,598
0,original_full,134,16.503845014549015,598
0,original_full,135,16.512472310578715,598
0,original_full,136,16.504089841641168,598
0,original_full,137,16.495030830584668,598
0,original_full,138,16.573450635837958,598
0,original_full,139,16.55158654590635,598
0,original_full,140,16.558560236364134,598
0,original_full,141,16.546247468563983,598
0,original_full,142,16.545501243744084,598
0,original_full,143,16.54303991451264,598
0,original_full,144,16.518420925652308,598
0,original_full,145,16.512895016659726,598
0,original_full,146,16.516253813296828,598
0,original_full,147,16.51601482828646,598
0,original_full,148,16.506300432331823,598
0,original_full,149,16.496861024378923,598
0,original_full,150,16.50715057425516,598
0,original_full,151,16.497384541488746,598
0,original_full,152,16.470020367867292,598
0,original_full,153,16.49243243941729,598
0,original_full,154,16.504168605603596,598
0,original_full,155,16.48731928893725,598
0,original_full,156,16.48352418083383,598
0,original_full,157,16.478504329970622,598
0,original_full,158,16.47062317023045,598
0,original_full,159,16.493444974781813,598
0,original_full,160,16.490862794129075,598
0,original_full,161,16.472833242557222,598
0,original_full,162,16.464381320842424,598
0,original_full,163,16.46408570939812,598
0,original_full,164,16.45983282568263,598
0,original_full,165,16.45780762873495,598
0,original_full,166,16.461605652934626,598
0,original_full,167,16.45435192730997,598
0,original_full,168,16.443693763130813,598
0,original_full,169,16.443252471596345,598
0,original_full,170,16.441333692216563,598
0,original_full,171,16.42833881982918,598
0,original_full,172,16.423159626841635,598
0,original_full,173,16.420766275285263,598
0,original_full,174,16.40914610258823,598
0,original_full,175,16.383356993306716,598
0,original_full,176,16.385933201997215,598
