origin,source_hour,destination_hour,status,production
2021-05-10 08:15:00,2021-05-10 09:00:00,,no_future_low_band_window,998
2021-05-10 09:30:00,2021-05-10 10:00:00,,no_future_low_band_window,628
2021-05-10 10:15:00,2021-05-10 11:00:00,,no_future_low_band_window,1491
2021-05-10 12:15:00,2021-05-10 13:00:00,,no_future_low_band_window,919
2021-05-10 13:45:00,2021-05-10 14:00:00,,no_future_low_band_window,1816
2021-05-11 07:15:00,2021-05-11 08:00:00,,no_future_low_band_window,637
2021-05-11 08:15:00,2021-05-11 09:00:00,,no_future_low_band_window,1542
2021-05-11 09:30:00,2021-05-11 10:00:00,,no_future_low_band_window,1472
2021-05-11 10:15:00,2021-05-11 11:00:00,,no_future_low_band_window,1484
2021-05-11 12:15:00,2021-05-11 13:00:00,,no_future_low_band_window,2483
2021-05-11 13:45:00,2021-05-11 14:00:00,,no_future_low_band_window,3081
2021-05-11 14:30:00,2021-05-11 15:00:00,,no_future_low_band_window,807
2021-05-12 07:45:00,2021-05-12 08:00:00,,no_future_low_band_window,691
2021-05-12 08:15:00,2021-05-12 09:00:00,,no_future_low_band_window,716
2021-05-12 09:30:00,2021-05-12 10:00:00,,no_future_low_band_window,941
2021-05-12 10:15:00,2021-05-12 11:00:00,,no_future_low_band_window,952
2021-05-12 12:15:00,2021-05-12 13:00:00,,no_future_low_band_window,1820
2021-05-12 13:45:00,2021-05-12 14:00:00,,no_future_low_band_window,1492
2021-05-12 14:45:00,2021-05-12 15:00:00,,no_future_low_band_window,1155
2021-05-31 07:30:00,2021-05-31 08:00:00,,no_future_low_band_window,697
2021-05-31 08:15:00,2021-05-31 09:00:00,,no_future_low_band_window,901
2021-05-31 10:45:00,2021-05-31 11:00:00,,no_future_low_band_window,1278
2021-05-31 12:15:00,2021-05-31 13:00:00,,no_future_low_band_window,647
2021-05-31 13:30:00,2021-05-31 14:00:00,,no_future_low_band_window,806
2021-06-01 07:30:00,2021-06-01 08:00:00,,no_future_low_band_window,1518
2021-06-01 08:15:00,2021-06-01 09:00:00,,no_future_low_band_window,966
2021-06-01 09:30:00,2021-06-01 10:00:00,,no_future_low_band_window,715
2021-06-01 10:15:00,2021-06-01 11:00:00,,no_future_low_band_window,330
2021-06-01 12:15:00,2021-06-01 13:00:00,,no_future_low_band_window,476
2021-06-01 13:15:00,2021-06-01 14:00:00,,no_future_low_band_window,2349
2021-06-01 14:45:00,2021-06-01 15:00:00,,no_future_low_band_window,1584
2021-06-02 07:15:00,2021-06-02 08:00:00,,no_future_low_band_window,338
2021-06-02 08:15:00,2021-06-02 09:00:00,,no_future_low_band_window,1944
2021-06-02 09:30:00,2021-06-02 10:00:00,,no_future_low_band_window,764
2021-06-02 10:15:00,2021-06-02 11:00:00,,no_future_low_band_window,2183
2021-06-02 12:15:00,2021-06-02 13:00:00,,no_future_low_band_window,5882
2021-06-02 13:15:00,2021-06-02 14:00:00,,no_future_low_band_window,1072
2021-06-02 14:45:00,2021-06-02 15:00:00,,no_future_low_band_window,822
2021-06-02 15:15:00,2021-06-02 16:00:00,,no_future_low_band_window,2146
2021-06-03 07:15:00,2021-06-03 08:00:00,,no_future_low_band_window,1187
2021-06-03 08:15:00,2021-06-03 09:00:00,,no_future_low_band_window,1096
2021-06-03 09:30:00,2021-06-03 10:00:00,,no_future_low_band_window,956
2021-06-03 10:15:00,2021-06-03 11:00:00,,no_future_low_band_window,1969
2021-06-03 12:30:00,2021-06-03 13:00:00,,no_future_low_band_window,1064
2021-06-03 14:00:00,2021-06-03 14:00:00,,no_future_low_band_window,2090
2021-06-04 07:30:00,2021-06-04 08:00:00,,no_future_low_band_window,655
2021-06-04 08:15:00,2021-06-04 09:00:00,,no_future_low_band_window,1270
2021-06-04 10:00:00,2021-06-04 10:00:00,,no_future_low_band_window,1286
2021-06-07 07:30:00,2021-06-07 08:00:00,,no_future_low_band_window,876
2021-06-07 08:15:00,2021-06-07 09:00:00,,no_future_low_band_window,490
2021-06-07 09:30:00,2021-06-07 10:00:00,,no_future_low_band_window,1661
2021-06-07 10:15:00,2021-06-07 11:00:00,,no_future_low_band_window,2549
2021-06-07 12:15:00,2021-06-07 13:00:00,,no_future_low_band_window,1242
2021-06-07 13:15:00,2021-06-07 14:00:00,,no_future_low_band_window,1430
2021-06-07 14:45:00,2021-06-07 15:00:00,,no_future_low_band_window,3211
2021-06-07 17:00:00,2021-06-07 17:00:00,,no_future_low_band_window,98
2021-06-08 07:45:00,2021-06-08 08:00:00,,no_future_low_band_window,1348
2021-06-08 08:15:00,2021-06-08 09:00:00,,no_future_low_band_window,2186
2021-06-08 09:30:00,2021-06-08 10:00:00,,no_future_low_band_window,582
2021-06-08 12:30:00,2021-06-08 13:00:00,,no_future_low_band_window,938
2021-06-08 13:45:00,2021-06-08 14:00:00,,no_future_low_band_window,1321
2021-06-08 15:00:00,2021-06-08 15:00:00,,no_future_low_band_window,1058
2021-06-09 07:45:00,2021-06-09 08:00:00,,no_future_low_band_window,648
2021-06-09 08:15:00,2021-06-09 09:00:00,,no_future_low_band_window,1219
2021-06-09 09:30:00,2021-06-09 10:00:00,,no_future_low_band_window,5042
2021-06-09 10:15:00,2021-06-09 11:00:00,,no_future_low_band_window,777
2021-06-09 12:15:00,2021-06-09 13:00:00,,no_future_low_band_window,1455
2021-06-09 13:15:00,2021-06-09 14:00:00,,no_future_low_band_window,567
2021-06-09 14:30:00,2021-06-09 15:00:00,,no_future_low_band_window,733
2021-06-10 07:45:00,2021-06-10 08:00:00,,no_future_low_band_window,493
2021-06-10 08:15:00,2021-06-10 09:00:00,,no_future_low_band_window,32
2021-06-10 09:30:00,2021-06-10 10:00:00,,no_future_low_band_window,2032
2021-06-10 10:15:00,2021-06-10 11:00:00,,no_future_low_band_window,829
2021-06-10 13:00:00,2021-06-10 13:00:00,,no_future_low_band_window,1013
2021-06-10 13:15:00,2021-06-10 14:00:00,,no_future_low_band_window,481
2021-06-11 07:30:00,2021-06-11 08:00:00,,no_future_low_band_window,497
2021-06-11 08:15:00,2021-06-11 09:00:00,,no_future_low_band_window,569
2021-06-11 09:30:00,2021-06-11 10:00:00,,no_future_low_band_window,921
2021-06-11 10:45:00,2021-06-11 11:00:00,,no_future_low_band_window,3102
2021-06-11 12:30:00,2021-06-11 13:00:00,,no_future_low_band_window,1017
2021-06-14 07:30:00,2021-06-14 08:00:00,,no_future_low_band_window,218
2021-06-14 08:15:00,2021-06-14 09:00:00,,no_future_low_band_window,701
2021-06-14 09:30:00,2021-06-14 10:00:00,,no_future_low_band_window,434
2021-06-14 10:15:00,2021-06-14 11:00:00,,no_future_low_band_window,1351
2021-06-14 12:15:00,2021-06-14 13:00:00,,no_future_low_band_window,2839
2021-06-14 13:15:00,2021-06-14 14:00:00,,no_future_low_band_window,984
2021-06-14 14:30:00,2021-06-14 15:00:00,,no_future_low_band_window,960
2021-06-14 15:15:00,2021-06-14 16:00:00,,no_future_low_band_window,744
2021-06-14 17:00:00,2021-06-14 17:00:00,,no_future_low_band_window,1417
2021-06-14 17:15:00,2021-06-14 18:00:00,,no_future_low_band_window,829
2021-06-15 07:15:00,2021-06-15 08:00:00,,no_future_low_band_window,2120
2021-06-15 08:15:00,2021-06-15 09:00:00,,no_future_low_band_window,1455
2021-06-15 09:30:00,2021-06-15 10:00:00,,no_future_low_band_window,1189
2021-06-15 10:15:00,2021-06-15 11:00:00,,no_future_low_band_window,1370
2021-06-15 12:15:00,2021-06-15 13:00:00,,no_future_low_band_window,2845
2021-06-15 13:15:00,2021-06-15 14:00:00,,no_future_low_band_window,923
2021-06-15 14:30:00,2021-06-15 15:00:00,,no_future_low_band_window,994
2021-06-15 15:15:00,2021-06-15 16:00:00,,no_future_low_band_window,3214
2021-06-15 17:00:00,2021-06-15 17:00:00,,no_future_low_band_window,602
2021-06-15 17:30:00,2021-06-15 18:00:00,,no_future_low_band_window,2017
2021-06-16 07:15:00,2021-06-16 08:00:00,,no_future_low_band_window,1140
2021-06-16 08:15:00,2021-06-16 09:00:00,,no_future_low_band_window,1405
2021-06-16 09:30:00,2021-06-16 10:00:00,,no_future_low_band_window,873
2021-06-16 10:15:00,2021-06-16 11:00:00,,no_future_low_band_window,376
2021-06-16 12:15:00,2021-06-16 13:00:00,,no_future_low_band_window,908
2021-06-16 13:15:00,2021-06-16 14:00:00,,no_future_low_band_window,2028
2021-06-16 14:30:00,2021-06-16 15:00:00,,no_future_low_band_window,1068
2021-06-16 15:15:00,2021-06-16 16:00:00,,no_future_low_band_window,1631
2021-06-16 17:00:00,2021-06-16 17:00:00,,no_future_low_band_window,69
2021-06-16 17:15:00,2021-06-16 18:00:00,,no_future_low_band_window,914
2021-06-17 07:15:00,2021-06-17 08:00:00,,no_future_low_band_window,1191
2021-06-17 08:15:00,2021-06-17 09:00:00,,no_future_low_band_window,987
2021-06-17 09:30:00,2021-06-17 10:00:00,,no_future_low_band_window,711
2021-06-17 10:15:00,2021-06-17 11:00:00,,no_future_low_band_window,3403
2021-06-17 12:15:00,2021-06-17 13:00:00,,no_future_low_band_window,1735
2021-06-17 13:15:00,2021-06-17 14:00:00,,no_future_low_band_window,802
2021-06-17 14:30:00,2021-06-17 15:00:00,,no_future_low_band_window,1135
2021-06-17 15:15:00,2021-06-17 16:00:00,,no_future_low_band_window,358
2021-06-17 16:45:00,2021-06-17 17:00:00,,no_future_low_band_window,991
2021-06-17 17:30:00,2021-06-17 18:00:00,,no_future_low_band_window,1558
2021-06-18 07:15:00,2021-06-18 08:00:00,,no_future_low_band_window,470
2021-06-18 08:15:00,2021-06-18 09:00:00,,no_future_low_band_window,680
2021-06-18 09:30:00,2021-06-18 10:00:00,,no_future_low_band_window,771
2021-06-18 10:15:00,2021-06-18 11:00:00,,no_future_low_band_window,982
2021-06-18 12:15:00,2021-06-18 13:00:00,,no_future_low_band_window,2310
2021-06-18 13:15:00,2021-06-18 14:00:00,,no_future_low_band_window,1500
2021-06-18 14:30:00,2021-06-18 15:00:00,,no_future_low_band_window,805
2021-06-18 15:45:00,2021-06-18 16:00:00,,no_future_low_band_window,1065
2021-06-21 07:15:00,2021-06-21 08:00:00,,no_future_low_band_window,180
2021-06-21 08:15:00,2021-06-21 09:00:00,,no_future_low_band_window,1350
2021-06-21 09:15:00,2021-06-21 10:00:00,,no_future_low_band_window,1175
2021-06-21 10:15:00,2021-06-21 11:00:00,,no_future_low_band_window,2287
2021-06-21 12:15:00,2021-06-21 13:00:00,,no_future_low_band_window,642
