slot,eligible_dates,events,rate,selected,fold,horizon
74,72,0,0.0,False,1,16
75,72,0,0.0,False,1,16
76,72,0,0.0,False,1,16
77,72,0,0.0,False,1,16
78,72,0,0.0,False,1,16
79,72,0,0.0,False,1,16
80,72,0,0.0,False,1,16
81,72,0,0.0,False,1,16
82,72,0,0.0,False,1,16
83,72,0,0.0,False,1,16
84,72,0,0.0,False,1,16
85,72,0,0.0,False,1,16
86,72,0,0.0,False,1,16
87,72,0,0.0,False,1,16
88,72,0,0.0,False,1,16
89,72,0,0.0,False,1,16
90,72,0,0.0,False,1,16
91,72,0,0.0,False,1,16
92,72,0,0.0,False,1,16
93,72,0,0.0,False,1,16
94,72,0,0.0,False,1,16
95,72,0,0.0,False,1,16
0,96,0,0.0,False,2,16
1,96,0,0.0,False,2,16
2,96,0,0.0,False,2,16
3,96,0,0.0,False,2,16
4,96,0,0.0,False,2,16
5,96,18,0.1875,True,2,16
6,96,0,0.0,False,2,16
7,96,0,0.0,False,2,16
8,96,0,0.0,False,2,16
9,96,0,0.0,False,2,16
10,96,0,0.0,False,2,16
11,96,0,0.0,False,2,16
12,96,0,0.0,False,2,16
13,96,0,0.0,False,2,16
14,96,0,0.0,False,2,16
15,96,0,0.0,False,2,16
16,96,0,0.0,False,2,16
17,96,0,0.0,False,2,16
18,96,0,0.0,False,2,16
19,96,0,0.0,False,2,16
20,96,0,0.0,False,2,16
21,96,0,0.0,False,2,16
22,96,0,0.0,False,2,16
23,96,2,0.020833333333333332,False,2,16
24,96,0,0.0,False,2,16
25,96,0,0.0,False,2,16
26,96,0,0.0,False,2,16
27,96,0,0.0,False,2,16
28,96,0,0.0,False,2,16
29,96,0,0.0,False,2,16
30,96,0,0.0,False,2,16
31,96,4,0.041666666666666664,False,2,16
32,96,7,0.07291666666666667,False,2,16
33,96,8,0.08333333333333333,False,2,16
34,96,0,0.0,False,2,16
35,96,0,0.0,False,2,16
36,96,0,0.0,False,2,16
37,96,0,0.0,False,2,16
38,96,0,0.0,False,2,16
39,96,0,0.0,False,2,16
40,96,0,0.0,False,2,16
41,96,0,0.0,False,2,16
42,96,0,0.0,False,2,16
43,96,0,0.0,False,2,16
44,96,0,0.0,False,2,16
45,96,0,0.0,False,2,16
46,96,0,0.0,False,2,16
47,96,0,0.0,False,2,16
48,96,0,0.0,False,2,16
49,96,0,0.0,False,2,16
50,96,0,0.0,False,2,16
51,96,0,0.0,False,2,16
52,96,6,0.0625,False,2,16
53,96,0,0.0,False,2,16
54,96,0,0.0,False,2,16
55,96,0,0.0,False,2,16
56,96,0,0.0,False,2,16
57,96,0,0.0,False,2,16
58,96,0,0.0,False,2,16
59,96,0,0.0,False,2,16
60,96,0,0.0,False,2,16
61,96,0,0.0,False,2,16
62,96,0,0.0,False,2,16
63,96,0,0.0,False,2,16
64,95,0,0.0,False,2,16
65,95,0,0.0,False,2,16
66,95,0,0.0,False,2,16
67,95,0,0.0,False,2,16
68,95,0,0.0,False,2,16
69,95,0,0.0,False,2,16
70,95,0,0.0,False,2,16
71,95,0,0.0,False,2,16
72,95,0,0.0,False,2,16
73,95,0,0.0,False,2,16
74,95,0,0.0,False,2,16
75,95,0,0.0,False,2,16
76,95,0,0.0,False,2,16
77,95,0,0.0,False,2,16
78,95,0,0.0,False,2,16
79,95,0,0.0,False,2,16
80,95,0,0.0,False,2,16
81,95,0,0.0,False,2,16
82,95,0,0.0,False,2,16
83,95,0,0.0,False,2,16
84,95,0,0.0,False,2,16
85,95,0,0.0,False,2,16
86,95,0,0.0,False,2,16
87,95,0,0.0,False,2,16
88,95,0,0.0,False,2,16
89,95,0,0.0,False,2,16
90,95,0,0.0,False,2,16
91,95,0,0.0,False,2,16
92,95,0,0.0,False,2,16
93,95,0,0.0,False,2,16
94,95,0,0.0,False,2,16
95,95,0,0.0,False,2,16
0,47,0,0.0,False,0,96
1,47,0,0.0,False,0,96
2,47,0,0.0,False,0,96
3,47,0,0.0,False,0,96
4,47,0,0.0,False,0,96
5,47,0,0.0,False,0,96
6,47,0,0.0,False,0,96
7,47,0,0.0,False,0,96
8,47,0,0.0,False,0,96
9,47,0,0.0,False,0,96
10,47,0,0.0,False,0,96
11,47,0,0.0,False,0,96
12,47,0,0.0,False,0,96
13,47,0,0.0,False,0,96
14,47,0,0.0,False,0,96
15,47,0,0.0,False,0,96
16,47,0,0.0,False,0,96
17,47,0,0.0,False,0,96
18,47,0,0.0,False,0,96
19,47,0,0.0,False,0,96
20,47,0,0.0,False,0,96
21,47,0,0.0,False,0,96
22,47,0,0.0,False,0,96
23,47,0,0.0,False,0,96
24,47,0,0.0,False,0,96
25,47,0,0.0,False,0,96
26,47,0,0.0,False,0,96
27,47,0,0.0,False,0,96
28,47,0,0.0,False,0,96
29,47,0,0.0,False,0,96
30,47,0,0.0,False,0,96
31,47,0,0.0,False,0,96
32,47,0,0.0,False,0,96
33,47,0,0.0,False,0,96
34,47,0,0.0,False,0,96
35,47,0,0.0,False,0,96
36,47,0,0.0,False,0,96
37,47,0,0.0,False,0,96
38,47,0,0.0,False,0,96
39,47,0,0.0,False,0,96
40,47,0,0.0,False,0,96
41,47,0,0.0,False,0,96
42,47,0,0.0,False,0,96
43,47,0,0.0,False,0,96
44,47,0,0.0,False,0,96
45,47,0,0.0,False,0,96
46,47,0,0.0,False,0,96
47,47,0,0.0,False,0,96
48,47,0,0.0,False,0,96
49,47,0,0.0,False,0,96
50,47,0,0.0,False,0,96
51,47,0,0.0,False,0,96
52,47,0,0.0,False,0,96
53,47,0,0.0,False,0,96
54,47,0,0.0,False,0,96
55,47,0,0.0,False,0,96
56,47,0,0.0,False,0,96
57,47,0,0.0,False,0,96
58,47,0,0.0,False,0,96
59,47,0,0.0,False,0,96
60,47,0,0.0,False,0,96
61,47,0,0.0,False,0,96
62,47,0,0.0,False,0,96
63,47,0,0.0,False,0,96
64,47,0,0.0,False,0,96
65,47,0,0.0,False,0,96
66,47,0,0.0,False,0,96
67,47,0,0.0,False,0,96
68,47,0,0.0,False,0,96
69,47,0,0.0,False,0,96
70,47,0,0.0,False,0,96
71,47,0,0.0,False,0,96
72,47,0,0.0,False,0,96
73,47,0,0.0,False,0,96
74,47,0,0.0,False,0,96
75,47,0,0.0,False,0,96
76,47,0,0.0,False,0,96
77,47,0,0.0,False,0,96
78,47,0,0.0,False,0,96
79,47,0,0.0,False,0,96
80,47,0,0.0,False,0,96
81,47,0,0.0,False,0,96
82,47,0,0.0,False,0,96
83,47,0,0.0,False,0,96
84,47,0,0.0,False,0,96
85,47,0,0.0,False,0,96
86,47,0,0.0,False,0,96
87,47,0,0.0,False,0,96
88,47,0,0.0,False,0,96
89,47,0,0.0,False,0,96
90,47,0,0.0,False,0,96
91,47,0,0.0,False,0,96
92,47,0,0.0,False,0,96
93,47,0,0.0,False,0,96
94,47,0,0.0,False,0,96
95,47,0,0.0,False,0,96
0,72,0,0.0,False,1,96
1,72,0,0.0,False,1,96
2,72,0,0.0,False,1,96
3,72,0,0.0,False,1,96
4,72,0,0.0,False,1,96
5,72,1,0.013888888888888888,False,1,96
6,72,0,0.0,False,1,96
7,72,0,0.0,False,1,96
8,72,0,0.0,False,1,96
9,72,0,0.0,False,1,96
10,72,0,0.0,False,1,96
11,72,0,0.0,False,1,96
12,72,0,0.0,False,1,96
13,72,0,0.0,False,1,96
14,72,0,0.0,False,1,96
15,72,0,0.0,False,1,96
16,72,0,0.0,False,1,96
17,72,0,0.0,False,1,96
18,72,0,0.0,False,1,96
19,72,0,0.0,False,1,96
20,72,0,0.0,False,1,96
21,72,0,0.0,False,1,96
22,72,0,0.0,False,1,96
