origin,target_time,horizon,fold,y,cbl_pred,tau,lgbm_pred,pred,day_type,slot,cbl_abs_error,lgbm_abs_error,error_diff_lgbm_minus_cbl,restart
2021-06-13 12:30:00,2021-06-14 12:30:00,96,1,104.0,91.5,177.0,104.73980071023932,104.73980071023932,workday,50,12.5,0.7398007102393223,-11.760199289760678,False
2021-06-13 12:45:00,2021-06-14 12:45:00,96,1,108.0,93.0,177.0,104.73980071023932,104.73980071023932,workday,51,15.0,3.2601992897606777,-11.739800710239322,False
2021-06-13 13:00:00,2021-06-14 13:00:00,96,1,140.0,122.5,177.0,120.08860626707592,120.08860626707592,workday,52,17.5,19.911393732924083,2.4113937329240827,False
2021-06-13 13:15:00,2021-06-14 13:15:00,96,1,175.0,159.16666666666666,177.0,156.84217455433756,156.84217455433756,workday,53,15.833333333333343,18.15782544566244,2.3244921123290965,False
2021-06-13 13:30:00,2021-06-14 13:30:00,96,1,187.0,164.5,177.0,156.84217455433756,156.84217455433756,workday,54,22.5,30.15782544566244,7.657825445662439,False
2021-06-13 13:45:00,2021-06-14 13:45:00,96,1,192.0,166.33333333333334,177.0,156.84217455433756,156.84217455433756,workday,55,25.666666666666657,35.15782544566244,9.491158778995782,False
2021-06-13 14:00:00,2021-06-14 14:00:00,96,1,188.0,161.16666666666666,177.0,156.84217455433756,156.84217455433756,workday,56,26.833333333333343,31.15782544566244,4.3244921123290965,False
2021-06-13 14:15:00,2021-06-14 14:15:00,96,1,185.0,160.33333333333334,177.0,156.84217455433756,156.84217455433756,workday,57,24.666666666666657,28.15782544566244,3.491158778995782,False
2021-06-13 14:30:00,2021-06-14 14:30:00,96,1,174.0,161.0,177.0,156.84217455433756,156.84217455433756,workday,58,13.0,17.15782544566244,4.157825445662439,False
2021-06-13 14:45:00,2021-06-14 14:45:00,96,1,172.0,163.83333333333334,177.0,156.84217455433756,156.84217455433756,workday,59,8.166666666666657,15.15782544566244,6.991158778995782,False
2021-06-13 15:00:00,2021-06-14 15:00:00,96,1,176.0,165.83333333333334,177.0,156.84217455433756,156.84217455433756,workday,60,10.166666666666657,19.15782544566244,8.991158778995782,False
2021-06-13 15:15:00,2021-06-14 15:15:00,96,1,148.0,130.5,177.0,120.08860626707592,120.08860626707592,workday,61,17.5,27.911393732924083,10.411393732924083,False
2021-06-13 15:30:00,2021-06-14 15:30:00,96,1,181.0,160.33333333333334,177.0,156.84217455433756,156.84217455433756,workday,62,20.666666666666657,24.15782544566244,3.491158778995782,False
2021-06-13 15:45:00,2021-06-14 15:45:00,96,1,190.0,157.66666666666666,177.0,156.84217455433756,156.84217455433756,workday,63,32.33333333333334,33.15782544566244,0.8244921123290965,False
2021-06-13 16:00:00,2021-06-14 16:00:00,96,1,192.0,158.66666666666666,177.0,156.2547647229872,156.2547647229872,workday,64,33.33333333333334,35.745235277012796,2.411901943679453,False
2021-06-13 16:15:00,2021-06-14 16:15:00,96,1,180.0,155.0,177.0,156.2547647229872,156.2547647229872,workday,65,25.0,23.745235277012796,-1.254764722987204,False
2021-06-13 16:30:00,2021-06-14 16:30:00,96,1,168.0,155.33333333333334,177.0,156.2547647229872,156.2547647229872,workday,66,12.666666666666657,11.745235277012796,-0.9214313896538613,False
2021-06-13 16:45:00,2021-06-14 16:45:00,96,1,169.0,158.33333333333334,177.0,156.2547647229872,156.2547647229872,workday,67,10.666666666666657,12.745235277012796,2.0785686103461387,False
2021-06-13 17:00:00,2021-06-14 17:00:00,96,1,168.0,156.83333333333334,177.0,156.2547647229872,156.2547647229872,workday,68,11.166666666666657,11.745235277012796,0.5785686103461387,False
2021-06-13 17:15:00,2021-06-14 17:15:00,96,1,130.0,118.5,177.0,112.32501141898616,112.32501141898616,workday,69,11.5,17.674988581013835,6.174988581013835,False
2021-06-13 17:30:00,2021-06-14 17:30:00,96,1,117.0,108.5,177.0,109.9702665617095,109.9702665617095,workday,70,8.5,7.029733438290506,-1.4702665617094937,False
2021-06-13 17:45:00,2021-06-14 17:45:00,96,1,159.0,142.0,177.0,149.70761678033975,149.70761678033975,workday,71,17.0,9.292383219660252,-7.707616780339748,False
