h4_fold,peak_start,peak_slot,horizon,origin,origin_on_history_grid,origin_has_clean_power,target_in_original_horizon_score,horizon_score_fold,slot_selected_from_horizon_fold_fit,analysis_role
1,2021-06-18 11:30:00,46,16,2021-06-18 07:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-18 11:30:00,46,96,2021-06-17 11:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-18 13:30:00,54,16,2021-06-18 09:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-18 13:30:00,54,96,2021-06-17 13:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-21 08:30:00,34,16,2021-06-21 04:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-21 08:30:00,34,96,2021-06-20 08:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-21 10:30:00,42,16,2021-06-21 06:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-21 10:30:00,42,96,2021-06-20 10:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-21 11:45:00,47,16,2021-06-21 07:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-21 11:45:00,47,96,2021-06-20 11:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-21 13:15:00,53,16,2021-06-21 09:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-21 13:15:00,53,96,2021-06-20 13:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-21 15:45:00,63,16,2021-06-21 11:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-21 15:45:00,63,96,2021-06-20 15:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-22 09:00:00,36,16,2021-06-22 05:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-22 09:00:00,36,96,2021-06-21 09:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-22 10:45:00,43,16,2021-06-22 06:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-22 10:45:00,43,96,2021-06-21 10:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-22 11:45:00,47,16,2021-06-22 07:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-22 11:45:00,47,96,2021-06-21 11:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-22 14:00:00,56,16,2021-06-22 10:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-22 14:00:00,56,96,2021-06-21 14:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-24 08:30:00,34,16,2021-06-24 04:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-24 08:30:00,34,96,2021-06-23 08:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-24 13:45:00,55,16,2021-06-24 09:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-24 13:45:00,55,96,2021-06-23 13:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-24 16:00:00,64,16,2021-06-24 12:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-24 16:00:00,64,96,2021-06-23 16:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 09:45:00,39,16,2021-06-25 05:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 09:45:00,39,96,2021-06-24 09:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 10:45:00,43,16,2021-06-25 06:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 10:45:00,43,96,2021-06-24 10:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 12:00:00,48,16,2021-06-25 08:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 12:00:00,48,96,2021-06-24 12:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 13:15:00,53,16,2021-06-25 09:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 13:15:00,53,96,2021-06-24 13:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 14:15:00,57,16,2021-06-25 10:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 14:15:00,57,96,2021-06-24 14:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 15:00:00,60,16,2021-06-25 11:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 15:00:00,60,96,2021-06-24 15:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 15:30:00,62,16,2021-06-25 11:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 15:30:00,62,96,2021-06-24 15:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 18:00:00,72,16,2021-06-25 14:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-25 18:00:00,72,96,2021-06-24 18:00:00,True,True,True,1.0,False,descriptive_coverage_only
2,2021-07-08 09:00:00,36,16,2021-07-08 05:00:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-08 09:00:00,36,96,2021-07-07 09:00:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-08 09:30:00,38,16,2021-07-08 05:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-08 09:30:00,38,96,2021-07-07 09:30:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-08 10:30:00,42,16,2021-07-08 06:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-08 10:30:00,42,96,2021-07-07 10:30:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-08 13:30:00,54,16,2021-07-08 09:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-08 13:30:00,54,96,2021-07-07 13:30:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-08 16:00:00,64,16,2021-07-08 12:00:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-08 16:00:00,64,96,2021-07-07 16:00:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-09 08:45:00,35,16,2021-07-09 04:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-09 08:45:00,35,96,2021-07-08 08:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-09 11:00:00,44,16,2021-07-09 07:00:00,True,True,True,2.0,False,descriptive_coverage_only
