analysis,horizon,fold,day_type,slot,restart,n,peak_n,cbl_mae,lgbm_mae,error_diff_lgbm_minus_cbl
A4,16,0,offday,49,False,9,0,11.027777777777779,5.166582256573197,-5.86119552120458
A4,16,0,offday,50,False,9,0,8.722222222222221,6.061711483694903,-2.6605107385273197
A4,16,0,offday,51,False,9,0,9.472222222222221,6.374065723897835,-3.0981564983243874
A4,16,0,offday,52,False,9,0,12.527777777777779,9.382377852225343,-3.1453999255524345
A4,16,0,offday,53,False,9,0,15.694444444444445,12.996320973035212,-2.6981234714092324
A4,16,0,offday,54,False,9,0,16.055555555555557,13.010064600141343,-3.045490955414212
A4,16,0,offday,55,False,9,0,16.52777777777778,13.322668241004234,-3.2051095367735436
A4,16,0,offday,56,False,9,0,16.805555555555557,14.018850280883388,-2.7867052746721677
A4,16,0,offday,57,False,9,0,15.805555555555555,10.117701714368183,-5.687853841187373
A4,16,0,offday,58,False,9,0,15.61111111111111,13.651594029443396,-1.959517081667714
A4,16,0,offday,59,False,9,0,16.86111111111111,14.518627354684188,-2.3424837564269247
A4,16,0,offday,60,False,9,0,16.5,10.44805406569621,-6.051945934303788
A4,16,0,offday,61,False,9,0,14.055555555555555,8.033161553384865,-6.02239400217069
A4,16,0,offday,62,False,9,0,15.333333333333334,9.39883138154167,-5.934501951791663
A4,16,0,offday,63,False,9,0,15.222222222222221,10.852349552993006,-4.369872669229216
A4,16,0,offday,64,False,9,0,14.583333333333334,8.42538794678144,-6.157945386551893
A4,16,0,offday,65,False,9,0,14.75,10.102856008003648,-4.647143991996352
A4,16,0,offday,66,False,9,0,15.194444444444445,9.36705607001319,-5.827388374431255
A4,16,0,offday,67,False,9,0,15.86111111111111,9.566948176873849,-6.294162934237262
A4,16,0,offday,68,False,9,0,16.694444444444443,5.787196241796378,-10.907248202648066
A4,16,0,offday,69,False,9,0,11.055555555555555,4.997915439716839,-6.0576401158387165
A4,16,0,offday,70,False,9,0,10.472222222222221,4.476383411651347,-5.995838810570875
A4,16,0,offday,71,False,9,0,16.25,10.02381839200293,-6.226181607997068
A4,16,0,offday,72,False,9,0,14.444444444444445,7.96257867148022,-6.481865772964225
A4,16,0,offday,73,False,9,0,16.333333333333332,8.200384361908199,-8.132948971425133
A4,16,0,offday,74,False,9,0,18.77777777777778,7.770742830983142,-11.007034946794636
A4,16,0,offday,75,False,9,0,16.86111111111111,9.276370957563092,-7.58474015354802
A4,16,0,offday,76,False,9,0,16.47222222222222,9.780743941430972,-6.69147828079125
A4,16,0,offday,77,False,9,0,15.916666666666666,9.979901029876153,-5.936765636790513
A4,16,0,offday,78,False,9,0,15.027777777777779,9.0462828201532,-5.981494957624578
A4,16,0,offday,79,False,9,0,14.777777777777779,9.101074762326007,-5.67670301545177
A4,16,0,offday,80,False,9,0,11.472222222222221,6.730020994054684,-4.742201228167539
A4,16,0,offday,81,False,9,0,11.5,6.331364031887996,-5.168635968112004
A4,16,0,offday,82,False,9,0,12.083333333333334,6.4445496979143035,-5.6387836354190295
A4,16,0,offday,83,False,9,0,10.305555555555555,8.02091364265852,-2.2846419128970346
A4,16,0,offday,84,False,9,0,11.805555555555555,6.620726791935695,-5.18482876361986
A4,16,0,offday,85,False,9,0,12.416666666666666,6.983976602000383,-5.432690064666284
A4,16,0,offday,86,False,9,0,13.527777777777779,6.089110251143105,-7.4386675266346725
A4,16,0,offday,87,False,9,0,12.61111111111111,5.255798536491226,-7.355312574619884
A4,16,0,offday,88,False,9,0,12.166666666666666,4.5595366897373175,-7.6071299769293494
A4,16,0,offday,89,False,9,0,8.944444444444445,5.579409811711572,-3.365034632732873
A4,16,0,offday,90,False,9,0,11.833333333333334,5.361548717620108,-6.471784615713225
A4,16,0,offday,91,False,9,0,11.694444444444445,5.174419612080712,-6.520024832363733
A4,16,0,offday,92,False,9,0,12.305555555555555,7.046461723607982,-5.259093831947573
A4,16,0,offday,93,False,9,0,10.694444444444445,6.296100294426515,-4.398344150017929
A4,16,0,offday,94,False,9,0,10.333333333333334,7.058410492193079,-3.274922841140255
A4,16,0,offday,95,False,9,0,10.75,6.915874492128956,-3.834125507871044
A4,16,0,workday,0,False,20,0,5.966666666666667,7.576251093324123,1.6095844266574553
A4,16,0,workday,1,False,20,0,15.716666666666672,18.12998964300598,2.413322976339317
A4,16,0,workday,2,False,20,0,13.95,17.79598697812428,3.845986978124278
A4,16,0,workday,3,False,20,0,13.816666666666666,16.375565970726857,2.5588993040601933
A4,16,0,workday,4,False,20,0,13.2,18.06302468179074,4.863024681790736
