fold,start,end,max_power,tau,slot,is_offday,selected_restart_slot
1,2021-06-09 09:30:00,2021-06-09 09:45:00,179.0,177.0,38,False,False
1,2021-06-09 10:30:00,2021-06-09 10:45:00,180.0,177.0,42,False,False
1,2021-06-09 11:45:00,2021-06-09 11:45:00,178.0,177.0,47,False,False
1,2021-06-09 14:00:00,2021-06-09 14:00:00,181.0,177.0,56,False,False
1,2021-06-14 08:45:00,2021-06-14 09:30:00,204.0,177.0,35,False,False
1,2021-06-14 10:00:00,2021-06-14 10:00:00,180.0,177.0,40,False,False
1,2021-06-14 10:30:00,2021-06-14 10:45:00,180.0,177.0,42,False,False
1,2021-06-14 11:30:00,2021-06-14 11:45:00,190.0,177.0,46,False,False
1,2021-06-14 13:30:00,2021-06-14 14:15:00,192.0,177.0,54,False,False
1,2021-06-14 15:30:00,2021-06-14 16:15:00,192.0,177.0,62,False,False
1,2021-06-14 18:00:00,2021-06-14 18:30:00,182.0,177.0,72,False,False
1,2021-06-15 08:30:00,2021-06-15 09:30:00,198.0,177.0,34,False,False
1,2021-06-15 10:00:00,2021-06-15 10:00:00,188.0,177.0,40,False,False
1,2021-06-15 10:45:00,2021-06-15 10:45:00,181.0,177.0,43,False,False
1,2021-06-15 11:30:00,2021-06-15 11:30:00,180.0,177.0,46,False,False
1,2021-06-15 12:00:00,2021-06-15 12:00:00,184.0,177.0,48,False,False
1,2021-06-15 14:15:00,2021-06-15 14:30:00,182.0,177.0,57,False,False
1,2021-06-15 16:45:00,2021-06-15 16:45:00,181.0,177.0,67,False,False
1,2021-06-16 08:30:00,2021-06-16 08:45:00,185.0,177.0,34,False,False
1,2021-06-16 09:45:00,2021-06-16 10:00:00,192.0,177.0,39,False,False
1,2021-06-16 10:30:00,2021-06-16 11:15:00,193.0,177.0,42,False,False
1,2021-06-16 15:45:00,2021-06-16 15:45:00,180.0,177.0,63,False,False
1,2021-06-17 08:15:00,2021-06-17 09:30:00,197.0,177.0,33,False,False
1,2021-06-17 10:00:00,2021-06-17 10:00:00,179.0,177.0,40,False,False
1,2021-06-17 11:15:00,2021-06-17 11:30:00,190.0,177.0,45,False,False
1,2021-06-17 13:30:00,2021-06-17 14:00:00,192.0,177.0,54,False,False
1,2021-06-17 14:30:00,2021-06-17 14:30:00,179.0,177.0,58,False,False
1,2021-06-17 15:00:00,2021-06-17 15:00:00,189.0,177.0,60,False,False
1,2021-06-17 15:30:00,2021-06-17 15:45:00,179.0,177.0,62,False,False
1,2021-06-18 10:00:00,2021-06-18 10:00:00,186.0,177.0,40,False,False
1,2021-06-18 10:30:00,2021-06-18 10:30:00,179.0,177.0,42,False,False
1,2021-06-18 11:30:00,2021-06-18 11:45:00,185.0,177.0,46,False,False
