horizon,model,reference_only,selection_used,metric_role,n,peak_n,union_n,nonpeak_n,target_days,bootstrap_n,episode_ci_method,peak_mae_union,peak_mae_union_ci_low,peak_mae_union_ci_high,peak_mae_union_valid_bootstrap_n,peak_bias,peak_bias_ci_low,peak_bias_ci_high,peak_bias_valid_bootstrap_n,overpredict_rate,overpredict_rate_ci_low,overpredict_rate_ci_high,overpredict_rate_valid_bootstrap_n,peak_mae,peak_mae_ci_low,peak_mae_ci_high,peak_mae_valid_bootstrap_n,position_fp,position_fp_ci_low,position_fp_ci_high,position_fp_valid_bootstrap_n,episode_f1,episode_f1_ci_low,episode_f1_ci_high,episode_f1_valid_bootstrap_n
16,lgbm_residual_cbl,False,False,"보조 지표, 선정에 미사용",7498,425,565,7073,84,1000,original_matching_event_start_date_blocks,31.287128387557818,18.793068573719818,49.297494553094594,1000,-17.3913108847482,-27.77996933724989,-10.391157801925555,1000,0.01979358122437438,0.011765730138779113,0.02953040153506886,1000,19.77753964787691,13.311064799126815,29.719455871566982,1000,493.0,348.925,644.025,1000,0.5109034267912772,0.39996932515337424,0.6,1000
16,p3_recent_mean,False,False,"보조 지표, 선정에 미사용",7498,425,613,7073,84,1000,original_matching_event_start_date_blocks,58.101141924959215,51.0571505642089,65.80101613269012,1000,-63.408235294117645,-75.17637954826239,-52.26284035462229,1000,0.026579951929874168,0.01642371894409938,0.03805559042510161,1000,65.92235294117647,55.495625331038134,77.23579942647565,1000,1957.0,1484.8,2485.05,1000,0.2525597269624573,0.19226190476190477,0.30545707070707073,1000
16,q95_aci_005,True,False,"보조 지표, 선정에 미사용",7498,425,434,7073,84,1000,original_matching_event_start_date_blocks,26.530657420895785,20.897160491531228,33.84044026408891,1000,-26.721447617042447,-34.26992983256412,-20.924867064469925,1000,0.0012724445072812103,0.0,0.003264903330173301,1000,26.721447617042447,20.924867064469925,34.26992983256412,1000,494.0,369.975,622.0,1000,0.5325077399380805,0.43345690747782,0.6182007138358178,1000
16,q95_aci_010,True,False,"보조 지표, 선정에 미사용",7498,425,434,7073,84,1000,original_matching_event_start_date_blocks,26.530657420895785,20.897160491531228,33.84044026408891,1000,-26.721447617042447,-34.26992983256412,-20.924867064469925,1000,0.0012724445072812103,0.0,0.003264903330173301,1000,26.721447617042447,20.924867064469925,34.26992983256412,1000,519.0,392.975,646.025,1000,0.5198776758409785,0.4263440622513043,0.5935483870967742,1000
16,q95_aci_050,True,False,"보조 지표, 선정에 미사용",7498,425,434,7073,84,1000,original_matching_event_start_date_blocks,26.530657420895785,20.897160491531228,33.84044026408891,1000,-26.721447617042447,-34.26992983256412,-20.924867064469925,1000,0.0012724445072812103,0.0,0.003264903330173301,1000,26.721447617042447,20.924867064469925,34.26992983256412,1000,882.0,649.975,1148.0749999999998,1000,0.5040214477211796,0.40128887389024454,0.5894428477901441,1000
16,q95_rolling_672,True,False,"보조 지표, 선정에 미사용",7498,425,434,7073,84,1000,original_matching_event_start_date_blocks,26.530657420895785,20.897160491531228,33.84044026408891,1000,-26.721447617042447,-34.26992983256412,-20.924867064469925,1000,0.0012724445072812103,0.0,0.003264903330173301,1000,26.721447617042447,20.924867064469925,34.26992983256412,1000,960.0,720.925,1205.0,1000,0.4909560723514212,0.39047562838494654,0.5778851126976378,1000
96,c3_holiday_hybrid,False,False,"보조 지표, 선정에 미사용",7155,369,513,6786,79,1000,original_matching_event_start_date_blocks,47.39831059129304,22.323793814145926,78.68563923200372,1000,-16.19512195121952,-21.870405405405414,-12.583836147632562,1000,0.021220159151193633,0.008331895844101154,0.037108348355114916,1000,16.74254742547426,13.356257628056,22.3541039263307,1000,1124.0,840.95,1404.025,1000,0.46153846153846156,0.36759488842265875,0.5439710042432814,1000
96,lgbm_quantile_b,True,False,"보조 지표, 선정에 미사용",7155,369,369,6786,79,1000,original_matching_event_start_date_blocks,31.692509816998705,25.498862958377156,39.06157263465162,1000,-31.692509816998708,-39.06157263465162,-25.49886295837716,1000,0.0,0.0,0.0,1000,31.692509816998708,25.498862958377156,39.06157263465162,1000,520.0,308.0,733.0999999999999,1000,0.41155234657039713,0.2956193601312551,0.5163684527393136,1000
96,lgbm_residual_cbl,False,False,"보조 지표, 선정에 미사용",7155,369,599,6786,79,1000,original_matching_event_start_date_blocks,53.80013044927689,29.43770487154404,81.37999714038341,1000,-23.035797834225807,-30.166577035834194,-18.128205990704288,1000,0.03389330975537872,0.01567209553429745,0.054779798272555365,1000,23.203473169813456,18.396515301949368,30.326329527361526,1000,768.0,529.0,1005.0999999999999,1000,0.44745762711864406,0.3360655737704918,0.5392264559141684,1000
96,p1_latest,False,False,"보조 지표, 선정에 미사용",7155,369,615,6786,79,1000,original_matching_event_start_date_blocks,68.2650406504065,42.49532081014224,94.3183116930751,1000,-59.75338753387534,-91.41134510869566,-28.229114406779676,1000,0.036251105216622455,0.022587285116834138,0.05326734937158947,1000,62.37669376693767,31.45825,93.90401733165564,1000,1107.0,843.6750000000001,1410.05,1000,0.3287671232876712,0.23296677894458756,0.42857142857142855,1000
