analysis_id,hypothesis_id,horizon,model,effect,estimate,ci_low,ci_high,p_raw,fold_effects,n_positive_folds,bootstrap_valid_draws,n_top,n_top_last_fold,b_top_coverage,candidate_top_coverage,b_pinball,candidate_pinball,eligible,null_value,selection_used
M4,M4_h16_q95_rolling_672_pinball_allowance,16,q95_rolling_672,pinball_allowance,0.14770813341300107,0.11744766732498062,0.17818270065688838,0.000999000999000999,"{""0"": 0.2215021760846391, ""1"": 0.09619384969211064, ""2"": 0.11782305399527654}",3,1000,774,211,0.91343669250646,0.8591731266149871,3.3518347740763086,3.371718379367123,True,0.0,False
M4,M4_h16_q95_rolling_672_last_fold_top_coverage_improvement,16,q95_rolling_672,last_fold_top_coverage_improvement,-0.1327014218009478,-0.20077376699805044,-0.06802002431701452,1.0,"{""0"": 0.014925373134328401, ""1"": -0.037296037296037254, ""2"": -0.1327014218009478}",1,1000,774,211,0.91343669250646,0.8591731266149871,3.3518347740763086,3.371718379367123,True,0.0,False
M4,M4_h96_q95_aci_005_top_coverage_error_improvement,96,q95_aci_005,top_coverage_error_improvement,0.01672240802675584,-0.013282613930527983,0.050712213207242944,0.16083916083916083,"{""0"": 0.043824701195219085, ""1"": 0.019559902200488977, ""2"": 0.01561181434599157}",3,1000,897,237,0.8651059085841695,0.8818283166109253,7.114973156531787,7.168649660009201,True,0.0,False
M4,M4_h96_q95_aci_005_pinball_allowance,96,q95_aci_005,pinball_allowance,0.30207215434917517,0.17546446232701954,0.4141990964217034,0.000999000999000999,"{""0"": 0.25632533589987117, ""1"": 0.16289115913427238, ""2"": 0.5602066859821986}",3,1000,897,237,0.8651059085841695,0.8818283166109253,7.114973156531787,7.168649660009201,True,0.0,False
M4,M4_h96_q95_aci_005_last_fold_top_coverage_improvement,96,q95_aci_005,last_fold_top_coverage_improvement,-0.016877637130801704,-0.05505221324990488,0.0,0.8551448551448552,"{""0"": 0.043824701195219085, ""1"": 0.019559902200488977, ""2"": -0.016877637130801704}",2,1000,897,237,0.8651059085841695,0.8818283166109253,7.114973156531787,7.168649660009201,True,0.0,False
M4,M4_h96_q95_aci_010_top_coverage_error_improvement,96,q95_aci_010,top_coverage_error_improvement,0.0022296544035674826,-0.030521155562937354,0.03517240547839505,0.4385614385614386,"{""0"": 0.043824701195219085, ""1"": -0.012224938875305624, ""2"": 0.01561181434599157}",2,1000,897,237,0.8651059085841695,0.867335562987737,7.114973156531787,7.197441537772033,True,0.0,False
M4,M4_h96_q95_aci_010_pinball_allowance,96,q95_aci_010,pinball_allowance,0.2732802765863435,0.13797985578998775,0.3898206146749353,0.000999000999000999,"{""0"": 0.18600693425496426, ""1"": 0.15525935855899162, ""2"": 0.5598436479614727}",3,1000,897,237,0.8651059085841695,0.867335562987737,7.114973156531787,7.197441537772033,True,0.0,False
M4,M4_h96_q95_aci_010_last_fold_top_coverage_improvement,96,q95_aci_010,last_fold_top_coverage_improvement,-0.016877637130801704,-0.05505221324990488,0.0,0.8551448551448552,"{""0"": 0.043824701195219085, ""1"": -0.012224938875305624, ""2"": -0.016877637130801704}",1,1000,897,237,0.8651059085841695,0.867335562987737,7.114973156531787,7.197441537772033,True,0.0,False
M4,M4_h96_q95_aci_050_top_coverage_error_improvement,96,q95_aci_050,top_coverage_error_improvement,0.006688963210702337,-0.02407102838680949,0.0377248960674485,0.35064935064935066,"{""0"": 0.05179282868525903, ""1"": -0.007334963325183352, ""2"": 0.01561181434599157}",2,1000,897,237,0.8651059085841695,0.8717948717948718,7.114973156531787,7.198104041696036,True,0.0,False
M4,M4_h96_q95_aci_050_pinball_allowance,96,q95_aci_050,pinball_allowance,0.27261777266234083,0.1403612989823059,0.38676563091956784,0.000999000999000999,"{""0"": 0.18082977310070458, ""1"": 0.15270789199630758, ""2"": 0.5681197422011102}",3,1000,897,237,0.8651059085841695,0.8717948717948718,7.114973156531787,7.198104041696036,True,0.0,False
M4,M4_h96_q95_aci_050_last_fold_top_coverage_improvement,96,q95_aci_050,last_fold_top_coverage_improvement,-0.016877637130801704,-0.05505221324990488,0.0,0.8551448551448552,"{""0"": 0.05179282868525903, ""1"": -0.007334963325183352, ""2"": -0.016877637130801704}",1,1000,897,237,0.8651059085841695,0.8717948717948718,7.114973156531787,7.198104041696036,True,0.0,False
M4,M4_h96_q95_rolling_672_top_coverage_error_improvement,96,q95_rolling_672,top_coverage_error_improvement,0.03790412486064654,0.010999122993515437,0.06422600702408252,0.006993006993006993,"{""0"": 0.011553784860557692, ""1"": 0.02444987775061125, ""2"": 0.01561181434599157}",3,1000,897,237,0.8651059085841695,0.903010033444816,7.114973156531787,7.194731759912102,True,0.0,False
M4,M4_h96_q95_rolling_672_pinball_allowance,96,q95_rolling_672,pinball_allowance,0.2759900544462743,0.15265391958573696,0.3899095385611504,0.000999000999000999,"{""0"": 0.16492584582419298, ""1"": 0.1953303486102265, ""2"": 0.5436110352002201}",3,1000,897,237,0.8651059085841695,0.903010033444816,7.114973156531787,7.194731759912102,True,0.0,False
M4,M4_h96_q95_rolling_672_last_fold_top_coverage_improvement,96,q95_rolling_672,last_fold_top_coverage_improvement,-0.016877637130801704,-0.05505221324990488,0.0,0.8551448551448552,"{""0"": 0.11155378486055778, ""1"": 0.02444987775061125, ""2"": -0.016877637130801704}",2,1000,897,237,0.8651059085841695,0.903010033444816,7.114973156531787,7.194731759912102,True,0.0,False
